lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
155.000,-20.880,18.000,801.000,151.457,-29.161,0.167,2717.000,153.310,-19.730,0.000,0.000,-1.610,-47.030,0.190,189.340,922.000,853.000,5.170,12.470,0.000,0.000,1.100,-1.180,-1.610,-47.030,1.100,-1.180,35.560,0.000,65.180,181.740,2.100
156.000,-20.880,18.000,833.000,152.522,-29.068,0.161,2729.000,155.610,-20.240,0.000,0.000,-1.610,-56.690,0.180,198.220,922.000,853.000,2.940,14.700,0.000,0.000,0.880,-1.350,-1.610,-56.690,0.880,-1.350,29.450,0.000,65.980,140.730,2.050
157.000,-20.880,18.000,890.000,153.584,-28.973,0.155,2734.000,156.580,-20.510,0.000,0.000,-1.610,-55.060,0.190,196.250,922.000,853.000,1.990,15.650,0.000,0.000,0.920,-1.320,-1.610,-55.060,0.920,-1.320,18.670,0.000,106.500,108.550,1.780
146.000,-19.880,18.000,801.000,141.746,-28.875,0.214,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
147.000,-19.880,18.000,801.000,142.817,-28.807,0.209,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
148.000,-19.880,18.000,801.000,143.887,-28.737,0.199,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
149.000,-19.880,18.000,801.000,144.956,-28.664,0.191,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
150.000,-19.880,18.000,801.000,146.024,-28.587,0.183,2700.000,150.170,-18.790,0.000,0.000,-1.610,-55.820,0.190,199.080,922.000,853.000,8.280,9.360,0.000,0.000,0.900,-1.330,-1.610,-55.820,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
151.000,-19.880,18.000,801.000,147.090,-28.509,0.176,2703.000,150.730,-18.970,0.000,0.000,-1.610,-55.800,0.190,198.900,922.000,853.000,7.720,9.920,0.000,0.000,0.900,-1.330,-1.610,-55.800,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
152.000,-19.880,18.000,801.000,148.156,-28.427,0.169,2708.000,151.680,-19.270,0.000,0.000,-1.610,-55.770,0.190,198.590,922.000,853.000,6.770,10.870,0.000,0.000,0.910,-1.330,-1.610,-55.770,0.910,-1.330,26.020,0.000,42.670,188.040,1.970
153.000,-19.880,18.000,801.000,149.221,-28.342,0.162,2711.000,152.230,-19.440,0.000,0.000,-1.610,-53.910,0.170,196.560,922.000,853.000,6.230,11.410,0.000,0.000,0.950,-1.300,-1.610,-53.910,0.950,-1.300,31.440,0.000,42.670,147.290,2.090
154.000,-19.880,18.000,801.000,150.284,-28.255,0.156,2716.000,153.120,-19.690,0.000,0.000,-1.610,-53.890,0.170,196.270,922.000,853.000,5.350,12.290,0.000,0.000,0.950,-1.300,-1.610,-53.890,0.950,-1.300,35.560,0.000,65.180,181.740,2.100
142.000,-18.880,18.000,801.000,137.389,-28.118,0.222,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
143.000,-18.880,18.000,801.000,138.459,-28.062,0.214,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
144.000,-18.880,18.000,801.000,139.529,-28.004,0.207,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
145.000,-18.880,18.000,801.000,140.598,-27.942,0.202,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
146.000,-18.880,18.000,801.000,141.667,-27.877,0.197,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
147.000,-18.880,18.000,801.000,142.734,-27.810,0.194,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
148.000,-18.880,18.000,801.000,143.800,-27.740,0.185,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
149.000,-18.880,18.000,801.000,144.866,-27.667,0.176,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
150.000,-18.880,18.000,801.000,145.930,-27.591,0.168,2699.000,149.980,-18.720,0.000,0.000,-1.610,-55.820,0.190,199.140,922.000,853.000,8.470,9.170,0.000,0.000,0.900,-1.330,-1.610,-55.820,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
140.000,-17.880,18.000,801.000,135.188,-27.221,0.227,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
141.000,-17.880,18.000,801.000,136.256,-27.172,0.217,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
142.000,-17.880,18.000,801.000,137.324,-27.119,0.207,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
143.000,-17.880,18.000,801.000,138.392,-27.064,0.199,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
144.000,-17.880,18.000,801.000,139.458,-27.006,0.191,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
145.000,-17.880,18.000,801.000,140.524,-26.944,0.185,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
146.000,-17.880,18.000,801.000,141.588,-26.880,0.180,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
147.000,-17.880,18.000,801.000,142.652,-26.813,0.177,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
148.000,-17.880,18.000,801.000,143.716,-26.743,0.171,2694.000,149.110,-18.260,0.000,0.000,-1.610,-67.440,0.190,210.980,922.000,853.000,8.220,8.220,0.000,0.000,0.620,-1.480,-1.610,-67.440,0.620,-1.480,19.130,0.000,113.660,167.470,1.800
139.000,-16.880,18.000,801.000,134.066,-26.269,0.226,3174.000,143.140,-16.430,7.070,-24.710,6.150,166.670,0.190,219.180,781.000,698.000,2.860,15.750,6.420,-2.950,-5.980,1.420,-1.600,-74.280,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
