lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
155.000,-22.754,23.000,801.000,151.053,-33.403,0.245,2701.000,155.700,-19.930,0.000,0.000,-1.370,-66.160,0.190,196.510,922.000,853.000,3.250,16.550,0.000,0.000,0.560,-1.260,-1.370,-66.160,0.560,-1.260,35.870,0.000,40.300,160.850,2.040
156.000,-22.754,23.000,866.000,152.146,-33.278,0.236,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
157.000,-22.754,23.000,866.000,153.238,-33.151,0.227,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
141.000,-21.754,23.000,801.000,135.450,-33.764,0.273,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
142.000,-21.754,23.000,801.000,136.564,-33.693,0.266,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
143.000,-21.754,23.000,801.000,137.676,-33.617,0.259,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
144.000,-21.754,23.000,801.000,138.786,-33.537,0.254,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
151.000,-21.754,23.000,801.000,146.517,-32.872,0.245,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
152.000,-21.754,23.000,801.000,147.614,-32.763,0.248,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
153.000,-21.754,23.000,801.000,148.710,-32.649,0.242,2685.000,152.640,-19.210,0.000,0.000,-1.370,-65.370,0.170,196.360,922.000,853.000,6.240,13.570,0.000,0.000,0.570,-1.240,-1.370,-65.370,0.570,-1.240,20.940,0.000,40.540,159.500,1.910
154.000,-21.754,23.000,801.000,149.803,-32.532,0.236,2686.000,152.830,-19.250,0.000,0.000,-1.370,-58.480,0.190,189.440,922.000,853.000,6.050,13.750,0.000,0.000,0.720,-1.170,-1.370,-58.480,0.720,-1.170,20.940,0.000,40.540,158.250,1.910
155.000,-21.754,23.000,801.000,150.895,-32.412,0.230,2699.000,155.310,-19.820,0.000,0.000,-1.370,-66.210,0.190,196.640,922.000,853.000,3.630,16.180,0.000,0.000,0.550,-1.260,-1.370,-66.210,0.550,-1.260,30.430,0.000,50.090,144.050,2.060
156.000,-21.754,23.000,866.000,151.985,-32.288,0.222,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
157.000,-21.754,23.000,866.000,153.072,-32.160,0.212,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
158.000,-21.754,23.000,866.000,154.158,-32.030,0.204,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
139.000,-20.754,23.000,801.000,133.141,-32.898,0.276,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
140.000,-20.754,23.000,801.000,134.251,-32.834,0.267,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
141.000,-20.754,23.000,801.000,135.361,-32.767,0.258,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
142.000,-20.754,23.000,801.000,136.469,-32.696,0.250,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
143.000,-20.754,23.000,801.000,137.576,-32.620,0.243,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
144.000,-20.754,23.000,801.000,138.682,-32.541,0.238,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
145.000,-20.754,23.000,801.000,139.786,-32.458,0.233,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
146.000,-20.754,23.000,801.000,140.889,-32.371,0.229,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
147.000,-20.754,23.000,801.000,141.991,-32.280,0.226,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
148.000,-20.754,23.000,801.000,143.091,-32.185,0.225,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
149.000,-20.754,23.000,801.000,144.189,-32.087,0.225,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
150.000,-20.754,23.000,801.000,145.285,-31.985,0.226,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
151.000,-20.754,23.000,801.000,146.380,-31.879,0.228,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
152.000,-20.754,23.000,801.000,147.473,-31.770,0.232,3102.000,142.390,-19.280,7.040,38.620,6.470,-131.100,0.190,154.320,781.000,698.000,6.750,17.270,5.500,4.390,-4.250,-4.870,-1.340,-21.470,1.240,-0.490,10.950,0.040,42.840,98.650,1.590
153.000,-20.754,23.000,801.000,148.564,-31.657,0.226,2685.000,152.640,-19.210,0.000,0.000,-1.370,-65.370,0.170,196.360,922.000,853.000,6.240,13.570,0.000,0.000,0.570,-1.240,-1.370,-65.370,0.570,-1.240,20.940,0.000,40.540,159.500,1.910
154.000,-20.754,23.000,801.000,149.653,-31.540,0.220,2686.000,152.830,-19.250,0.000,0.000,-1.370,-58.480,0.190,189.440,922.000,853.000,6.050,13.750,0.000,0.000,0.720,-1.170,-1.370,-58.480,0.720,-1.170,20.940,0.000,40.540,158.250,1.910
155.000,-20.754,23.000,801.000,150.741,-31.420,0.214,2697.000,154.940,-19.710,0.000,0.000,-1.370,-67.890,0.180,198.400,922.000,853.000,4.000,15.810,0.000,0.000,0.520,-1.270,-1.370,-67.890,0.520,-1.270,30.430,0.000,50.090,144.050,2.060
156.000,-20.754,23.000,833.000,151.826,-31.297,0.207,2701.000,155.700,-19.930,0.000,0.000,-1.370,-66.160,0.190,196.510,922.000,853.000,3.250,16.550,0.000,0.000,0.560,-1.260,-1.370,-66.160,0.560,-1.260,35.870,0.000,40.300,160.850,2.040
157.000,-20.754,23.000,890.000,152.910,-31.170,0.198,2719.000,158.830,-21.100,0.000,0.000,-1.380,-81.170,0.130,210.790,922.000,853.000,0.070,19.740,0.000,0.000,0.210,-1.360,-1.380,-81.170,0.210,-1.360,3.000,0.000,42.300,71.190,1.190
