lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
124.758,1.139,10.000,669.000,124.589,-1.938,0.010,2007.000,124.990,-2.340,4.700,-46.310,-11.700,64.530,0.170,313.150,781.000,669.000,1.540,3.950,3.250,-3.400,5.030,10.570,-10.930,42.030,8.120,7.320,107.830,0.060,42.490,707.010,2.300
151.146,-8.917,10.000,836.000,148.239,-13.656,0.014,3182.000,148.150,-12.850,0.000,0.000,6.590,-153.090,0.200,177.940,849.000,615.000,0.290,0.290,0.000,0.000,-5.880,-2.980,6.590,-153.090,-5.880,-2.980,39.620,0.000,87.450,171.560,2.160
122.805,-3.607,11.000,566.000,121.407,-2.768,0.019,1812.000,121.280,-3.830,1.170,68.190,-6.260,21.280,0.200,1.400,801.000,669.000,2.920,5.240,0.440,1.090,5.840,2.270,-7.120,28.740,6.240,3.420,111.170,0.010,128.590,523.030,2.440
133.183,-4.817,11.000,684.000,129.613,-10.608,0.081,1114.000,131.780,-6.510,7.110,7.800,12.710,-117.470,0.180,76.680,781.000,679.000,0.090,0.090,7.040,0.970,-5.860,-11.280,-10.410,-84.290,1.040,-10.360,106.810,0.140,46.650,749.810,2.290
154.444,-2.030,12.000,901.000,161.655,-3.960,0.069,1731.000,159.990,-7.570,6.150,-4.030,1.540,117.590,0.190,23.710,849.000,847.000,7.530,15.390,6.130,-0.430,-0.710,1.370,-5.490,9.790,5.410,0.930,62.190,0.100,40.860,185.440,2.240
160.053,-6.884,12.000,901.000,167.099,-9.017,0.052,1690.000,165.770,-11.670,5.530,-7.880,1.530,114.030,0.140,24.700,849.000,847.000,8.300,8.300,5.480,-0.760,-0.620,1.400,-4.890,7.500,4.850,0.640,58.000,0.070,41.230,167.480,2.130
123.650,0.298,13.000,669.000,122.567,-4.558,0.007,1604.000,122.580,-4.930,7.150,-38.520,-6.150,22.800,0.170,3.280,781.000,669.000,3.620,3.620,5.590,-4.450,5.670,2.380,-11.450,-9.860,11.280,-1.960,106.650,0.100,30.690,371.610,2.330
150.702,-1.740,13.000,847.000,157.838,-3.412,0.010,2842.000,158.140,-2.940,7.940,72.870,-1.540,-72.080,0.190,214.510,901.000,847.000,5.490,5.490,2.340,7.580,0.470,-1.460,-6.730,65.380,2.810,6.120,135.730,0.050,6.840,179.860,2.800
136.532,-7.593,14.000,801.000,132.194,-14.941,0.109,1077.000,134.130,-8.970,7.100,7.820,12.570,-114.580,0.170,69.910,781.000,679.000,0.080,0.080,7.030,0.970,-5.230,-11.430,-10.650,-81.050,1.660,-10.520,90.770,0.120,21.580,392.720,2.550
155.400,-2.295,14.000,901.000,163.792,-4.493,0.047,2852.000,161.690,-6.150,7.890,54.800,1.530,-92.440,0.200,233.270,901.000,847.000,9.300,9.830,4.550,6.440,-0.070,-1.530,-6.650,47.660,4.480,4.910,126.850,0.100,3.760,174.090,2.720
134.149,-7.678,15.000,801.000,129.459,-15.626,0.119,3117.000,131.530,-9.080,7.670,0.680,6.830,-168.830,0.200,197.880,781.000,698.000,2.070,2.070,7.670,0.090,-6.700,-1.320,-1.570,-51.980,0.970,-1.240,103.940,0.160,29.860,417.440,2.300
156.253,-23.753,15.000,833.000,153.510,-30.560,0.177,2759.000,156.670,-20.790,0.000,0.000,-1.600,-54.700,0.190,196.210,922.000,853.000,1.770,13.210,0.000,0.000,0.930,-1.310,-1.600,-54.700,0.930,-1.310,51.260,0.000,116.080,211.480,2.100
148.973,-21.503,16.000,801.000,145.424,-29.306,0.195,2778.000,150.160,-18.960,0.000,0.000,-1.600,-55.560,0.190,199.100,922.000,853.000,7.700,7.700,0.000,0.000,0.910,-1.320,-1.600,-55.560,0.910,-1.320,45.950,0.000,42.020,464.920,2.100
152.637,-6.213,16.000,830.000,159.056,-6.407,0.038,2865.000,160.590,-4.820,7.930,66.630,-1.560,-79.460,0.170,221.330,901.000,847.000,7.780,7.780,3.150,7.280,0.280,-1.530,-6.690,59.210,3.430,5.750,131.240,0.060,7.470,176.740,2.780
164.246,-9.089,17.000,827.000,169.772,-12.018,0.030,2883.000,169.530,-10.330,-7.860,118.320,-1.540,-33.080,0.180,170.860,901.000,847.000,0.090,0.090,-3.730,6.920,1.290,-0.840,6.550,111.930,-2.450,6.080,112.400,0.000,49.090,167.110,2.590
151.022,3.898,17.000,901.000,161.517,1.556,0.095,2810.000,158.440,-2.940,7.970,73.000,-1.560,-72.080,0.190,214.630,901.000,847.000,4.880,4.880,2.330,7.620,0.480,-1.490,-6.750,65.410,2.810,6.140,134.520,0.050,6.840,178.980,2.800
144.546,-14.751,18.000,801.000,139.818,-23.850,0.139,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
154.705,-21.168,18.000,801.000,151.176,-29.474,0.173,2717.000,153.310,-19.730,0.000,0.000,-1.610,-47.030,0.190,189.340,922.000,853.000,5.170,12.470,0.000,0.000,1.100,-1.180,-1.610,-47.030,1.100,-1.180,35.560,0.000,65.180,181.740,2.100
