lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
153.000,-16.153,10.000,801.000,150.451,-20.811,0.139,3166.000,151.340,-12.890,0.000,0.000,6.410,-161.420,0.190,186.280,849.000,615.000,3.410,3.410,0.000,0.000,-6.070,-2.040,6.410,-161.420,-6.070,-2.040,32.240,0.000,117.190,149.570,2.000
154.000,-16.153,10.000,801.000,151.477,-20.767,0.136,3161.000,152.320,-12.990,0.000,0.000,6.340,-161.230,0.190,186.060,849.000,615.000,4.370,4.370,0.000,0.000,-6.010,-2.040,6.340,-161.230,-6.010,-2.040,28.050,0.000,123.860,137.080,1.910
155.000,-16.153,10.000,801.000,152.503,-20.723,0.128,3140.000,156.120,-14.220,0.000,0.000,6.060,174.750,0.180,209.460,849.000,615.000,0.610,8.330,0.000,0.000,-6.040,0.550,6.060,174.750,-6.040,0.550,21.430,0.000,126.530,108.370,1.700
148.000,-15.153,10.000,801.000,145.275,-20.006,0.132,3183.000,147.950,-12.860,0.000,0.000,6.600,-153.140,0.200,177.980,849.000,615.000,0.100,0.100,0.000,0.000,-5.890,-2.980,6.600,-153.140,-5.890,-2.980,36.370,0.000,87.450,162.070,2.100
149.000,-15.153,10.000,801.000,146.301,-19.970,0.127,3183.000,147.950,-12.860,0.000,0.000,6.600,-153.140,0.200,177.980,849.000,615.000,0.100,0.100,0.000,0.000,-5.890,-2.980,6.600,-153.140,-5.890,-2.980,36.370,0.000,87.450,162.070,2.100
150.000,-15.153,10.000,801.000,147.327,-19.932,0.124,3183.000,147.950,-12.860,0.000,0.000,6.600,-153.140,0.200,177.980,849.000,615.000,0.100,0.100,0.000,0.000,-5.890,-2.980,6.600,-153.140,-5.890,-2.980,36.370,0.000,87.450,162.070,2.100
151.000,-15.153,10.000,801.000,148.353,-19.894,0.123,3181.000,148.350,-12.850,0.000,0.000,6.580,-153.040,0.200,177.890,849.000,615.000,0.490,0.490,0.000,0.000,-5.860,-2.980,6.580,-153.040,-5.860,-2.980,39.620,0.000,87.450,171.560,2.160
152.000,-15.153,10.000,801.000,149.379,-19.853,0.123,3177.000,149.150,-12.820,0.000,0.000,6.530,-152.850,0.200,177.710,849.000,615.000,1.270,1.270,0.000,0.000,-5.810,-2.980,6.530,-152.850,-5.810,-2.980,39.620,0.000,87.450,171.560,2.160
153.000,-15.153,10.000,801.000,150.404,-19.812,0.122,3167.000,151.140,-12.870,0.000,0.000,6.420,-161.460,0.190,186.320,849.000,615.000,3.220,3.220,0.000,0.000,-6.080,-2.040,6.420,-161.460,-6.080,-2.040,32.240,0.000,117.190,149.570,2.000
154.000,-15.153,10.000,801.000,151.429,-19.768,0.119,3162.000,152.130,-12.970,0.000,0.000,6.360,-161.270,0.190,186.100,849.000,615.000,4.180,4.180,0.000,0.000,-6.020,-2.040,6.360,-161.270,-6.020,-2.040,28.050,0.000,123.860,137.080,1.910
