index,lon,lat,age,plate_id
0,141.0,-58.99999999999994,136,802
1,142.0,-58.99999999999994,136,802
2,143.0,-58.99999999999994,136,802
3,140.0,-57.99999999999994,136,802
4,141.0,-57.99999999999994,136,802
5,142.0,-57.99999999999994,136,802
6,143.0,-57.99999999999994,136,802
7,138.0,-56.99999999999994,136,802
8,139.0,-56.99999999999994,136,802
9,140.0,-56.99999999999994,136,802
10,141.0,-56.99999999999994,136,802
11,142.0,-56.99999999999994,136,802
12,138.0,-55.99999999999994,136,802
13,139.0,-55.99999999999994,136,802
14,140.0,-55.99999999999994,136,802
15,141.0,-55.99999999999994,136,802
16,138.0,-54.99999999999994,136,802
17,139.0,-54.99999999999994,136,802
18,140.0,-54.99999999999994,136,802
19,138.0,-53.99999999999994,136,802
20,139.0,-53.99999999999994,136,802
21,140.0,-53.99999999999994,136,802
22,138.0,-52.99999999999994,136,802
23,139.0,-52.99999999999994,136,802
24,140.0,-52.99999999999994,136,802
25,138.0,-51.99999999999994,136,802
26,139.0,-51.99999999999994,136,802
27,140.0,-51.99999999999994,136,802
28,138.0,-50.99999999999994,136,802
29,139.0,-50.99999999999994,136,802
30,140.0,-50.99999999999994,136,801
31,141.0,-50.99999999999994,136,801
32,139.0,-49.99999999999994,136,801
33,140.0,-49.99999999999994,136,801
34,139.0,-48.99999999999994,136,801
35,137.0,-47.99999999999994,136,801
36,138.0,-47.99999999999994,136,801
37,139.0,-47.99999999999994,136,801
38,140.0,-47.99999999999994,136,801
39,139.0,-46.99999999999994,136,801
40,140.0,-43.99999999999994,136,801
41,141.0,-43.99999999999994,136,801
42,142.0,-43.99999999999994,136,801
43,140.0,-42.99999999999994,136,801
44,141.0,-42.99999999999994,136,801
45,142.0,-42.99999999999994,136,801
46,139.0,-41.99999999999994,136,801
47,140.0,-41.99999999999994,136,801
48,141.0,-41.99999999999994,136,801
49,139.0,-40.99999999999994,136,801
50,140.0,-40.99999999999994,136,801
51,141.0,-40.99999999999994,136,801
52,138.0,-39.99999999999994,136,801
53,139.0,-39.99999999999994,136,801
54,140.0,-39.99999999999994,136,801
55,138.0,-38.99999999999994,136,801
56,139.0,-38.99999999999994,136,801
57,140.0,-38.99999999999994,136,801
58,137.0,-37.99999999999994,136,801
59,138.0,-37.99999999999994,136,801
60,139.0,-37.99999999999994,136,801
61,137.0,-36.99999999999994,136,801
62,138.0,-36.99999999999994,136,801
63,139.0,-36.99999999999994,136,801
64,136.0,-35.99999999999994,136,801
65,137.0,-35.99999999999994,136,801
66,138.0,-35.99999999999994,136,801
67,139.0,-35.99999999999994,136,801
68,136.0,-34.99999999999994,136,801
69,137.0,-34.99999999999994,136,801
70,138.0,-34.99999999999994,136,801
71,135.0,-33.99999999999994,136,801
72,136.0,-33.99999999999994,136,801
73,137.0,-33.99999999999994,136,801
74,138.0,-33.99999999999994,136,801
75,135.0,-32.99999999999994,136,801
76,136.0,-32.99999999999994,136,801
77,137.0,-32.99999999999994,136,801
78,134.0,-31.999999999999943,136,801
79,135.0,-31.999999999999943,136,801
80,136.0,-31.999999999999943,136,801
81,137.0,-31.999999999999943,136,801
82,134.0,-30.999999999999943,136,801
83,135.0,-30.999999999999943,136,801
84,136.0,-30.999999999999943,136,801
85,134.0,-29.999999999999943,136,801
86,135.0,-29.999999999999943,136,801
87,136.0,-29.999999999999943,136,801
88,133.0,-28.999999999999943,136,801
89,134.0,-28.999999999999943,136,801
90,135.0,-28.999999999999943,136,801
91,136.0,-28.999999999999943,136,801
92,133.0,-27.999999999999943,136,801
93,134.0,-27.999999999999943,136,801
94,135.0,-27.999999999999943,136,801
95,133.0,-26.999999999999943,136,801
96,134.0,-26.999999999999943,136,801
97,135.0,-26.999999999999943,136,801
98,133.0,-25.999999999999943,136,801
99,134.0,-25.999999999999943,136,801
100,135.0,-25.999999999999943,136,801
101,133.0,-24.999999999999943,136,801
102,134.0,-24.999999999999943,136,801
103,135.0,-24.999999999999943,136,801
104,133.0,-23.999999999999943,136,801
105,134.0,-23.999999999999943,136,801
106,135.0,-23.999999999999943,136,801
107,133.0,-22.999999999999943,136,801
108,134.0,-22.999999999999943,136,801
109,135.0,-22.999999999999943,136,801
110,133.0,-21.999999999999943,136,801
111,134.0,-21.999999999999943,136,801
112,135.0,-21.999999999999943,136,801
113,133.0,-20.999999999999943,136,801
114,134.0,-20.999999999999943,136,801
115,135.0,-20.999999999999943,136,801
116,133.0,-19.999999999999943,136,801
117,134.0,-19.999999999999943,136,801
118,135.0,-19.999999999999943,136,801
119,133.0,-18.999999999999943,136,801
120,134.0,-18.999999999999943,136,801
121,135.0,-18.999999999999943,136,801
122,133.0,-17.999999999999943,136,801
123,134.0,-17.999999999999943,136,801
124,135.0,-17.999999999999943,136,801
125,133.0,-16.999999999999943,136,801
126,134.0,-16.999999999999943,136,801
127,135.0,-16.999999999999943,136,801
128,133.0,-15.999999999999943,136,801
129,134.0,-15.999999999999943,136,801
130,135.0,-15.999999999999943,136,801
131,133.0,-14.999999999999943,136,801
132,134.0,-14.999999999999943,136,801
133,135.0,-14.999999999999943,136,801
134,136.0,-14.999999999999943,136,801
135,134.0,-13.999999999999943,136,801
136,135.0,-13.999999999999943,136,801
137,136.0,-13.999999999999943,136,801
138,134.0,-12.999999999999943,136,801
139,135.0,-12.999999999999943,136,801
140,136.0,-12.999999999999943,136,801
141,134.0,-11.999999999999943,136,801
142,135.0,-11.999999999999943,136,801
143,137.0,-11.999999999999943,136,801
144,136.0,-10.999999999999943,136,801
145,137.0,-10.999999999999943,136,801
146,138.0,-10.999999999999943,136,801
147,135.0,-9.999999999999943,136,801
148,136.0,-9.999999999999943,136,801
149,137.0,-9.999999999999943,136,801
150,138.0,-9.999999999999943,136,801
151,134.0,-8.999999999999943,136,801
152,135.0,-8.999999999999943,136,801
153,136.0,-8.999999999999943,136,801
154,137.0,-8.999999999999943,136,801
155,133.0,-7.999999999999943,136,801
156,134.0,-7.999999999999943,136,801
157,135.0,-7.999999999999943,136,801
158,136.0,-7.999999999999943,136,801
159,132.0,-6.999999999999943,136,684
160,133.0,-6.999999999999943,136,801
161,134.0,-6.999999999999943,136,801
162,135.0,-6.999999999999943,136,801
163,131.0,-5.999999999999943,136,684
164,132.0,-5.999999999999943,136,684
165,133.0,-5.999999999999943,136,684
166,134.0,-5.999999999999943,136,615
167,135.0,-5.999999999999943,136,615
168,130.0,-4.999999999999943,136,676
169,131.0,-4.999999999999943,136,684
170,132.0,-4.999999999999943,136,684
171,133.0,-4.999999999999943,136,684
172,134.0,-4.999999999999943,136,61501
173,129.0,-3.999999999999943,136,681
174,130.0,-3.999999999999943,136,681
175,131.0,-3.999999999999943,136,681
176,132.0,-3.999999999999943,136,684
177,133.0,-3.999999999999943,136,61501
178,128.0,-2.999999999999943,136,681
179,129.0,-2.999999999999943,136,681
180,130.0,-2.999999999999943,136,681
181,131.0,-2.999999999999943,136,681
182,132.0,-2.999999999999943,136,61501
183,127.0,-1.9999999999999432,136,681
184,128.0,-1.9999999999999432,136,681
185,129.0,-1.9999999999999432,136,61502
186,130.0,-1.9999999999999432,136,61502
187,131.0,-1.9999999999999432,136,61502
188,127.0,-0.9999999999999432,136,679
189,128.0,-0.9999999999999432,136,679
190,129.0,-0.9999999999999432,136,680
191,130.0,-0.9999999999999432,136,567
192,126.0,5.684341886080802e-14,136,678
193,127.0,5.684341886080802e-14,136,679
194,128.0,5.684341886080802e-14,136,679
195,129.0,5.684341886080802e-14,136,680
196,130.0,5.684341886080802e-14,136,680
197,126.0,1.0000000000000568,136,678
198,127.0,1.0000000000000568,136,679
199,128.0,1.0000000000000568,136,680
200,129.0,1.0000000000000568,136,680
201,125.0,2.000000000000057,136,669
202,126.0,2.000000000000057,136,678
203,127.0,2.000000000000057,136,678
204,128.0,2.000000000000057,136,679
205,124.0,3.000000000000057,136,645
206,125.0,3.000000000000057,136,645
207,126.0,3.000000000000057,136,678
208,127.0,3.000000000000057,136,678
209,124.0,4.000000000000057,136,645
210,125.0,4.000000000000057,136,645
211,126.0,4.000000000000057,136,669
212,127.0,4.000000000000057,136,678
213,122.0,5.000000000000057,136,645
214,123.0,5.000000000000057,136,645
215,125.0,5.000000000000057,136,645
216,126.0,5.000000000000057,136,669
217,121.0,6.000000000000057,136,646
218,122.0,6.000000000000057,136,645
219,123.0,6.000000000000057,136,645
220,124.0,6.000000000000057,136,645
221,91.0,7.000000000000057,136,501
222,92.0,7.000000000000057,136,501
223,93.0,7.000000000000057,136,687
224,94.0,7.000000000000057,136,607
225,120.0,7.000000000000057,136,646
226,121.0,7.000000000000057,136,646
227,122.0,7.000000000000057,136,646
228,123.0,7.000000000000057,136,645
229,124.0,7.000000000000057,136,564
230,91.0,8.000000000000057,136,501
231,92.0,8.000000000000057,136,501
232,93.0,8.000000000000057,136,607
233,94.0,8.000000000000057,136,607
234,118.0,8.000000000000057,136,61406
235,119.0,8.000000000000057,136,677
236,120.0,8.000000000000057,136,646
237,121.0,8.000000000000057,136,646
238,122.0,8.000000000000057,136,646
239,91.0,9.000000000000057,136,501
240,92.0,9.000000000000057,136,501
241,93.0,9.000000000000057,136,607
242,116.0,9.000000000000057,136,613
243,117.0,9.000000000000057,136,613
244,118.0,9.000000000000057,136,738
245,119.0,9.000000000000057,136,738
246,120.0,9.000000000000057,136,646
247,121.0,9.000000000000057,136,646
248,122.0,9.000000000000057,136,646
249,123.0,9.000000000000057,136,674
250,124.0,9.000000000000057,136,674
251,125.0,9.000000000000057,136,674
252,126.0,9.000000000000057,136,678
253,127.0,9.000000000000057,136,678
