lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
178.241,-58.009,70.000,901.000,-145.349,-77.539,0.339,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
179.241,-58.009,70.000,901.000,-142.904,-77.501,0.343,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
177.241,-57.009,70.000,901.000,-147.936,-76.563,0.319,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
178.241,-57.009,70.000,901.000,-145.597,-76.540,0.323,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
179.241,-57.009,70.000,901.000,-143.265,-76.504,0.328,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
176.241,-56.009,70.000,901.000,-150.293,-75.571,0.300,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
177.241,-56.009,70.000,901.000,-148.050,-75.563,0.304,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
178.241,-56.009,70.000,901.000,-145.811,-75.542,0.308,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
179.241,-56.009,70.000,901.000,-143.578,-75.507,0.313,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
175.241,-55.009,70.000,901.000,-152.459,-74.567,0.280,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
176.241,-55.009,70.000,901.000,-150.304,-74.571,0.284,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
177.241,-55.009,70.000,901.000,-148.149,-74.563,0.288,1990.000,-163.320,-58.980,2.370,-75.970,6.490,142.640,0.170,211.240,901.000,865.000,0.080,8.010,0.570,-2.300,-5.160,3.940,4.860,160.430,-4.580,1.630,53.280,0.010,67.070,126.460,2.280
