lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
179.846,-46.210,40.000,901.000,-155.968,-54.381,0.264,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
179.846,-45.210,40.000,901.000,-155.965,-53.381,0.261,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
176.846,-44.210,40.000,813.000,-159.484,-52.365,0.222,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
177.846,-44.210,40.000,813.000,-158.310,-52.373,0.235,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
178.846,-44.210,40.000,813.000,-157.136,-52.379,0.247,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
179.846,-44.210,40.000,813.000,-155.962,-52.381,0.259,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
176.846,-43.210,40.000,813.000,-159.462,-51.365,0.221,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
177.846,-43.210,40.000,813.000,-158.294,-51.373,0.233,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
178.846,-43.210,40.000,813.000,-157.127,-51.379,0.246,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
175.846,-42.210,40.000,983.000,-160.601,-50.354,0.208,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
176.846,-42.210,40.000,983.000,-159.440,-50.365,0.220,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
177.846,-42.210,40.000,983.000,-158.279,-50.373,0.233,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
178.846,-42.210,40.000,983.000,-157.118,-50.379,0.246,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
174.846,-41.210,40.000,806.000,-169.643,-53.912,0.134,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
175.846,-41.210,40.000,806.000,-168.574,-53.505,0.139,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
176.846,-41.210,40.000,806.000,-167.518,-53.096,0.145,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
177.846,-41.210,40.000,983.000,-158.265,-49.373,0.234,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
173.846,-40.210,40.000,806.000,-171.626,-53.470,0.113,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
174.846,-40.210,40.000,806.000,-170.541,-53.067,0.117,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
175.846,-40.210,40.000,806.000,-169.468,-52.662,0.123,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
176.846,-40.210,40.000,806.000,-168.408,-52.254,0.130,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
173.846,-39.210,40.000,806.000,-172.491,-52.616,0.096,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
174.846,-39.210,40.000,806.000,-171.404,-52.215,0.102,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
175.846,-39.210,40.000,806.000,-170.329,-51.812,0.108,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
172.846,-38.210,40.000,806.000,-174.425,-52.152,0.076,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
173.846,-38.210,40.000,806.000,-173.324,-51.756,0.080,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
174.846,-38.210,40.000,806.000,-172.235,-51.357,0.086,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
175.846,-38.210,40.000,806.000,-171.158,-50.956,0.094,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
172.846,-37.210,40.000,806.000,-175.228,-51.284,0.059,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
173.846,-37.210,40.000,806.000,-174.125,-50.890,0.064,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
174.846,-37.210,40.000,806.000,-173.035,-50.494,0.072,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
161.846,-36.210,40.000,833.000,171.019,-54.458,0.147,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
162.846,-36.210,40.000,833.000,172.269,-54.114,0.133,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
163.846,-36.210,40.000,833.000,173.504,-53.764,0.119,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
164.846,-36.210,40.000,833.000,174.725,-53.408,0.106,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
171.846,-36.210,40.000,833.000,-177.114,-50.799,0.040,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
172.846,-36.210,40.000,806.000,-176.000,-50.411,0.043,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
173.846,-36.210,40.000,806.000,-174.897,-50.019,0.050,934.000,-178.880,-48.840,4.430,19.530,3.430,160.640,0.180,244.150,901.000,823.000,0.090,6.900,4.180,1.480,-3.230,1.140,-2.800,69.550,0.980,2.620,80.600,0.080,11.590,125.330,2.460
