lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
125.187,7.670,129.000,674.000,134.659,-32.823,0.054,1749.000,138.180,-31.890,19.230,-38.790,8.890,117.220,0.200,251.500,919.000,609.000,9.570,22.430,14.990,-12.050,-4.070,7.910,-11.620,-21.280,10.830,-4.220,7.890,0.090,-0.000,86.780,2.190
99.096,-1.660,89.000,68601.000,101.556,-9.078,0.053,1441.000,103.120,-6.490,3.780,25.890,-3.430,-82.280,0.190,27.980,501.000,67350.000,2.040,2.040,3.400,1.650,0.460,-3.390,-4.240,-24.550,3.850,-1.760,58.320,0.060,11.020,131.300,2.530
120.714,3.412,127.000,645.000,120.714,3.412,0.034,1597.000,119.490,1.890,15.910,-20.320,5.100,179.330,0.190,37.590,780.000,67350.000,6.390,6.390,14.920,-5.530,-5.100,0.060,-11.240,-29.220,9.810,-5.490,18.580,0.140,5.430,120.130,2.360
113.968,3.732,104.000,61403.000,122.295,6.966,0.051,1034.000,119.860,5.300,-7.700,114.850,-4.670,1.930,0.180,210.030,926.000,614.000,0.090,8.230,-3.230,6.980,4.670,0.160,-7.250,78.520,1.440,7.100,87.040,0.000,28.430,153.710,2.510
121.921,-10.359,215.000,684.000,89.757,-34.939,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.857,-6.503,74.000,668.000,110.548,-5.173,0.085,1121.000,113.990,-1.680,-6.220,96.670,-1.350,-10.600,0.190,214.750,926.000,614.000,6.430,6.980,-0.720,6.170,1.330,-0.250,-5.940,84.100,0.610,5.910,33.700,0.000,3.030,93.580,2.200
132.864,-6.548,82.000,684.000,122.503,-36.048,0.307,272.000,143.560,-32.670,1.700,7.920,4.080,146.040,0.190,226.540,901.000,847.000,0.090,0.090,1.680,0.230,-3.380,2.280,3.050,123.900,-1.700,2.530,25.130,0.020,24.920,275.950,2.010
124.114,6.515,144.000,564.000,129.703,-44.069,0.095,2068.000,137.200,-43.650,20.730,-2.130,9.980,-169.530,0.190,263.470,919.000,844.000,11.320,11.320,20.720,-0.770,-9.810,-1.810,-11.240,-13.500,10.930,-2.620,61.680,0.360,5.320,222.230,2.660
146.761,-16.602,88.000,801.000,140.624,-44.908,0.196,2853.000,154.830,-40.670,5.400,82.180,4.140,-151.920,0.190,213.200,901.000,8680.000,0.100,0.100,0.740,5.350,-3.650,-1.950,4.500,130.580,-2.930,3.420,38.130,0.010,5.620,128.240,2.090
128.874,-15.139,154.000,801.000,93.520,-44.640,,,,,,,,,,,,,,,,,,,,,,,,,,,
