lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
150.298,-19.500,14.000,801.000,149.152,-27.903,0.187,2062.000,153.610,-17.960,6.560,-8.540,5.660,170.070,0.190,200.740,922.000,853.000,8.880,12.850,6.480,-0.970,-5.570,0.980,-0.910,-0.190,0.910,-0.000,27.670,0.070,24.750,129.960,1.960
151.298,-19.500,14.000,801.000,150.214,-27.824,0.180,2065.000,154.160,-18.160,6.510,-8.590,5.610,169.980,0.190,200.560,922.000,853.000,8.320,13.420,6.440,-0.970,-5.530,0.980,-0.920,-0.180,0.920,-0.000,27.670,0.070,18.350,129.960,1.960
152.298,-19.500,14.000,801.000,151.276,-27.742,0.173,2070.000,155.100,-18.490,6.440,-8.690,5.530,169.840,0.190,200.270,922.000,853.000,7.370,14.360,6.370,-0.970,-5.440,0.980,-0.920,-0.180,0.920,-0.000,27.670,0.070,18.350,129.960,1.960
153.298,-19.500,14.000,801.000,152.336,-27.657,0.165,2073.000,155.630,-18.660,6.400,-6.890,5.480,171.610,0.170,198.260,922.000,853.000,6.840,14.890,6.350,-0.770,-5.430,0.800,-0.930,1.650,0.930,0.030,27.670,0.070,18.350,129.960,1.960
154.298,-19.500,14.000,801.000,153.395,-27.570,0.159,2077.000,156.330,-18.870,6.340,-6.950,5.420,171.510,0.170,198.030,922.000,853.000,6.140,15.590,6.300,-0.770,-5.360,0.800,-0.930,1.640,0.930,0.030,11.830,0.040,18.350,120.020,1.510
155.298,-19.500,14.000,833.000,154.453,-27.481,0.153,2078.000,156.520,-18.920,6.330,-0.100,5.410,178.360,0.190,191.110,922.000,853.000,5.960,15.770,6.330,-0.010,-5.410,0.150,-0.930,8.500,0.920,0.140,11.830,0.050,18.350,120.020,1.510
156.298,-19.500,14.000,890.000,155.510,-27.388,0.147,2089.000,158.610,-19.440,6.160,-9.880,5.220,168.500,0.180,200.090,922.000,853.000,3.910,17.830,6.070,-1.060,-5.120,1.040,-0.950,-1.240,0.950,-0.020,30.140,0.070,34.710,137.580,2.010
157.298,-19.500,14.000,890.000,156.566,-27.294,0.140,2093.000,159.360,-19.680,6.100,-8.340,5.150,169.990,0.190,198.210,922.000,853.000,3.160,18.570,6.030,-0.880,-5.080,0.900,-0.950,0.390,0.950,0.010,30.140,0.070,34.710,137.580,2.010
158.298,-19.500,14.000,861.000,157.621,-27.197,0.133,2107.000,161.820,-20.600,5.880,-20.570,4.920,157.550,0.190,209.130,922.000,853.000,0.650,21.080,5.500,-2.070,-4.550,1.880,-0.970,-11.320,0.950,-0.190,20.450,0.050,2.520,119.110,1.770
149.298,-18.500,14.000,801.000,147.999,-26.983,0.181,2059.000,153.060,-17.740,6.600,-20.040,5.700,158.600,0.190,212.470,922.000,853.000,9.450,12.290,6.200,-2.260,-5.310,2.080,-0.910,-11.760,0.890,-0.180,31.580,0.080,24.750,145.470,2.040
150.298,-18.500,14.000,801.000,149.059,-26.906,0.172,2060.000,153.240,-17.820,6.580,-8.500,5.690,170.120,0.190,200.850,922.000,853.000,9.260,12.470,6.510,-0.970,-5.600,0.980,-0.910,-0.190,0.910,-0.000,31.580,0.080,24.750,145.470,2.040
