lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
175.892,-59.000,73.000,901.000,-151.999,-80.010,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.892,-59.000,73.000,901.000,-149.029,-80.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.892,-59.000,73.000,901.000,-146.061,-80.003,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.892,-59.000,73.000,901.000,-143.104,-79.972,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.892,-59.000,73.000,901.000,-140.167,-79.922,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.892,-58.000,73.000,901.000,-151.846,-79.011,0.332,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
176.892,-58.000,73.000,901.000,-149.065,-79.016,0.336,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
177.892,-58.000,73.000,901.000,-146.286,-79.004,0.339,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
178.892,-58.000,73.000,901.000,-143.515,-78.975,0.343,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
179.892,-58.000,73.000,901.000,-140.761,-78.928,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.892,-57.000,73.000,901.000,-154.336,-77.989,0.313,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
175.892,-57.000,73.000,901.000,-151.718,-78.011,0.316,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
176.892,-57.000,73.000,901.000,-149.095,-78.016,0.320,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
177.892,-57.000,73.000,901.000,-146.474,-78.005,0.324,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
173.892,-56.000,73.000,901.000,-156.569,-76.955,0.294,1938.000,-163.810,-60.240,-2.800,131.570,3.130,-175.550,0.160,209.910,901.000,865.000,0.080,8.360,-1.860,2.090,-3.120,-0.240,5.310,159.060,-4.960,1.900,50.770,0.000,8.040,116.870,2.280
