lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
146.670,-7.460,4.000,698.000,145.944,-10.107,0.033,839.000,146.640,-8.340,-3.030,-148.050,5.660,151.490,0.180,202.160,849.000,829.000,8.470,11.410,-2.570,-1.600,-4.980,2.700,7.630,173.450,-7.580,0.870,29.930,0.000,19.960,136.700,1.850
145.860,-6.200,9.000,698.000,144.242,-12.046,0.033,825.000,145.230,-10.430,0.000,0.000,7.060,162.480,0.190,212.440,849.000,829.000,1.040,1.040,0.000,0.000,-6.730,2.120,7.060,162.480,-6.730,2.120,23.790,0.000,16.210,118.620,1.770
152.630,-3.130,1.000,847.000,153.350,-3.407,0.041,2535.000,153.310,-5.730,11.550,33.850,7.680,-108.160,0.160,19.060,849.000,830.000,1.070,1.070,9.590,6.430,-2.390,-7.300,-7.260,-2.830,7.260,-0.360,37.980,0.110,21.840,98.290,2.010
141.140,-5.210,1.000,615.000,140.941,-5.890,0.037,2642.000,141.610,-3.870,6.460,61.890,6.230,162.170,0.180,202.780,697.000,829.000,5.160,5.160,3.040,5.700,-5.930,1.910,8.070,111.710,-2.990,7.500,22.130,0.030,31.800,93.700,1.930
155.500,-6.330,3.000,847.000,157.648,-7.180,0.016,1331.000,157.250,-7.980,10.400,26.070,8.490,-112.090,0.170,43.850,849.000,847.000,6.860,11.060,9.340,4.570,-3.190,-7.870,-7.000,-28.110,6.180,-3.300,22.130,0.090,34.020,115.180,1.660
143.080,-5.460,6.000,615.000,141.916,-9.517,0.049,821.000,143.700,-7.340,-2.690,-168.950,5.170,141.150,0.200,217.980,849.000,829.000,3.590,3.590,-2.640,-0.510,-4.020,3.240,7.200,158.570,-6.700,2.630,27.030,0.000,24.500,98.580,1.800
146.880,-2.020,15.000,847.000,155.591,-4.856,0.025,1265.000,156.300,-6.080,-3.740,153.660,-3.550,-40.340,0.200,328.520,922.000,688.000,3.740,3.740,-3.350,1.660,2.710,-2.300,0.910,-135.570,-0.650,-0.630,40.950,0.000,6.690,115.860,2.100
145.170,-6.490,0.000,615.000,145.170,-6.490,0.031,2689.000,146.230,-5.080,6.140,7.300,8.550,127.400,0.190,220.150,697.000,829.000,4.530,10.320,6.090,0.780,-5.190,6.790,-7.550,85.280,0.620,7.520,2.420,0.020,14.520,65.620,1.010
141.730,-4.660,14.000,698.000,139.146,-13.651,0.138,1182.000,142.320,-6.380,10.110,44.270,6.470,-95.710,0.180,13.370,801.000,688.000,0.090,17.430,7.240,7.050,-0.640,-6.440,-6.640,5.410,6.610,0.630,133.840,0.140,60.300,450.210,2.790
153.610,-4.090,1.000,847.000,154.329,-4.369,0.028,2531.000,153.910,-5.930,10.710,42.350,7.440,-95.470,0.170,13.660,849.000,830.000,0.440,0.440,7.910,7.210,-0.710,-7.410,-7.220,2.490,7.220,0.310,34.500,0.090,25.250,97.340,1.920
147.580,-9.300,4.000,698.000,146.894,-11.931,0.054,851.000,148.620,-9.350,-1.810,-136.830,6.870,146.990,0.190,212.840,849.000,829.000,6.260,13.630,-1.320,-1.240,-5.760,3.740,7.510,162.290,-7.160,2.290,28.600,0.000,21.620,151.830,1.860
160.030,-9.780,2.000,847.000,161.458,-10.359,0.004,1260.000,161.420,-10.610,9.880,36.940,8.450,-101.950,0.180,34.330,801.000,847.000,5.300,5.300,7.890,5.930,-1.750,-8.270,-6.600,-20.660,6.180,-2.330,81.460,0.140,17.030,245.680,2.180
151.650,-3.180,34.000,847.000,156.280,-12.759,0.021,963.000,157.010,-11.770,12.130,18.530,9.240,-173.260,0.180,216.910,901.000,847.000,4.570,4.570,11.500,3.850,-9.180,-1.080,-3.630,50.180,2.330,2.790,115.150,0.230,7.930,283.940,2.750
160.160,-9.610,23.000,847.000,168.995,-12.129,0.038,2292.000,169.540,-10.030,-7.760,95.590,-0.330,29.370,0.180,192.060,901.000,847.000,0.810,0.810,-0.760,7.720,0.290,0.160,7.900,93.390,-0.470,7.890,112.080,0.000,15.280,162.620,2.620
146.940,-2.160,14.000,847.000,155.630,-5.075,0.014,1255.000,156.050,-5.760,-6.640,141.000,-6.600,-46.800,0.200,328.320,922.000,688.000,3.350,3.350,-5.160,4.180,4.520,-4.810,0.900,-135.120,-0.640,-0.630,51.790,0.000,7.550,122.710,2.100
150.380,-5.970,25.000,830.000,159.624,-5.758,0.008,1564.000,159.990,-6.080,-10.910,98.400,-3.660,-19.630,0.200,317.420,922.000,688.000,2.370,2.370,-1.590,10.790,3.450,-1.230,-9.750,77.710,2.080,9.530,34.930,0.000,10.030,146.030,2.040
150.020,-5.720,24.000,830.000,159.492,-5.358,0.012,1549.000,159.930,-5.880,-2.260,156.500,-2.380,-31.260,0.200,318.480,922.000,688.000,1.820,1.820,-2.070,0.900,2.040,-1.240,0.340,-96.510,-0.040,-0.340,93.370,0.000,8.870,160.450,2.430
141.330,-5.070,2.000,615.000,140.934,-6.431,0.036,2643.000,142.030,-4.660,9.250,38.110,6.370,156.410,0.170,208.700,847.000,829.000,5.870,5.870,7.280,5.710,-5.840,2.550,-8.400,80.670,1.360,8.290,32.050,0.080,30.060,90.990,1.950
146.450,-6.880,9.000,698.000,144.869,-12.703,0.037,830.000,146.040,-10.940,0.000,0.000,7.000,162.330,0.190,212.290,849.000,829.000,1.980,1.980,0.000,0.000,-6.670,2.120,7.000,162.330,-6.670,2.120,24.600,0.000,16.210,121.650,1.790
145.130,-5.740,7.000,698.000,143.819,-10.372,0.033,861.000,144.930,-8.800,0.000,0.000,7.110,162.710,0.190,213.110,849.000,829.000,6.840,6.840,0.000,0.000,-6.780,2.110,7.110,162.710,-6.780,2.110,28.910,0.000,16.310,123.640,1.880
142.530,-5.950,2.000,615.000,142.143,-7.303,0.040,2651.000,143.300,-5.330,9.460,38.570,6.670,158.930,0.190,207.140,847.000,829.000,6.500,7.310,7.390,5.900,-6.220,2.400,-8.390,82.530,1.090,8.320,33.810,0.090,39.940,132.830,1.920
151.740,-5.040,25.000,830.000,161.266,-5.928,0.014,1569.000,160.670,-5.400,-10.840,104.150,-3.210,-14.330,0.180,309.510,922.000,688.000,1.410,1.410,-2.650,10.510,3.110,-0.790,-9.740,85.990,0.680,9.720,133.560,0.000,9.320,172.690,2.730
156.040,-6.840,4.000,847.000,158.904,-7.977,0.015,1474.000,158.330,-8.610,10.290,26.340,8.490,-112.040,0.170,43.880,849.000,847.000,4.580,10.600,9.220,4.570,-3.190,-7.870,-6.910,-28.570,6.070,-3.300,26.800,0.090,33.450,115.620,1.740
159.730,-9.370,24.000,847.000,168.584,-11.863,0.034,998.000,169.230,-10.000,7.770,88.600,-0.340,21.810,0.200,199.000,901.000,847.000,2.090,10.000,0.190,7.770,0.310,0.120,-7.910,86.370,0.500,7.890,111.820,0.000,8.850,162.500,2.630
146.710,-8.250,5.000,615.000,145.822,-11.560,0.049,825.000,147.010,-9.000,-2.820,-145.380,6.010,148.250,0.180,205.380,849.000,829.000,7.750,7.750,-2.320,-1.600,-5.110,3.160,7.600,169.900,-7.480,1.330,29.490,0.000,18.920,132.580,1.850
158.070,-8.750,3.000,847.000,160.212,-9.612,0.008,1312.000,159.970,-9.970,12.180,20.680,8.460,-93.260,0.180,25.420,829.000,847.000,7.670,7.670,11.390,4.300,-0.480,-8.450,-11.550,-20.900,10.790,-4.120,42.120,0.150,8.160,165.290,2.010
157.520,-8.080,4.000,847.000,160.381,-9.226,0.014,1462.000,160.050,-9.960,13.420,10.510,8.470,-93.520,0.190,25.610,829.000,847.000,6.770,8.420,13.200,2.450,-0.520,-8.450,-13.820,-25.580,12.460,-5.970,54.990,0.210,22.650,122.950,2.160
159.830,-9.430,24.000,847.000,168.684,-11.924,0.035,998.000,169.230,-10.000,7.770,88.600,-0.340,21.810,0.200,199.000,901.000,847.000,2.090,10.000,0.190,7.770,0.310,0.120,-7.910,86.370,0.500,7.890,111.820,0.000,8.850,162.500,2.630
160.080,-9.690,2.000,847.000,161.508,-10.270,0.006,1260.000,161.420,-10.610,9.880,36.940,8.450,-101.950,0.180,34.330,801.000,847.000,5.300,5.300,7.890,5.930,-1.750,-8.270,-6.600,-20.660,6.180,-2.330,81.460,0.140,17.030,245.680,2.180
146.280,-6.750,12.000,698.000,144.235,-14.361,0.037,769.000,145.400,-12.600,0.000,0.000,6.340,164.150,0.190,211.420,849.000,829.000,1.800,1.800,0.000,0.000,-6.100,1.730,6.340,164.150,-6.100,1.730,24.190,0.000,11.580,102.340,1.860
