lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
142.53,-5.95,2.0,615.0,142.143,-7.303,0.04,2651.0,143.3,-5.33,9.46,38.57,6.67,158.93,0.19,207.14,847.0,829.0,6.5,7.31,7.39,5.9,-6.22,2.4,-8.39,82.53,1.09,8.32,33.81,0.09,39.94,132.83,1.92,1
151.74,-5.04,25.0,830.0,161.266,-5.928,0.014,1569.0,160.67,-5.4,-10.84,104.15,-3.21,-14.33,0.18,309.51,922.0,688.0,1.41,1.41,-2.65,10.51,3.11,-0.79,-9.74,85.99,0.68,9.72,133.56,0.0,9.32,172.69,2.73,1
156.04,-6.84,4.0,847.0,158.904,-7.977,0.015,1474.0,158.33,-8.61,10.29,26.34,8.49,-112.04,0.17,43.88,849.0,847.0,4.58,10.6,9.22,4.57,-3.19,-7.87,-6.91,-28.57,6.07,-3.3,26.8,0.09,33.45,115.62,1.74,1
159.73,-9.37,24.0,847.0,168.584,-11.863,0.034,998.0,169.23,-10.0,7.77,88.6,-0.34,21.81,0.2,199.0,901.0,847.0,2.09,10.0,0.19,7.77,0.31,0.12,-7.91,86.37,0.5,7.89,111.82,0.0,8.85,162.5,2.63,1
146.71,-8.25,5.0,615.0,145.822,-11.56,0.049,825.0,147.01,-9.0,-2.82,-145.38,6.01,148.25,0.18,205.38,849.0,829.0,7.75,7.75,-2.32,-1.6,-5.11,3.16,7.6,169.9,-7.48,1.33,29.49,0.0,18.92,132.58,1.85,1
158.07,-8.75,3.0,847.0,160.212,-9.612,0.008,1312.0,159.97,-9.97,12.18,20.68,8.46,-93.26,0.18,25.42,829.0,847.0,7.67,7.67,11.39,4.3,-0.48,-8.45,-11.55,-20.9,10.79,-4.12,42.12,0.15,8.16,165.29,2.01,1
157.52,-8.08,4.0,847.0,160.381,-9.226,0.014,1462.0,160.05,-9.96,13.42,10.51,8.47,-93.52,0.19,25.61,829.0,847.0,6.77,8.42,13.2,2.45,-0.52,-8.45,-13.82,-25.58,12.46,-5.97,54.99,0.21,22.65,122.95,2.16,1
159.83,-9.43,24.0,847.0,168.684,-11.924,0.035,998.0,169.23,-10.0,7.77,88.6,-0.34,21.81,0.2,199.0,901.0,847.0,2.09,10.0,0.19,7.77,0.31,0.12,-7.91,86.37,0.5,7.89,111.82,0.0,8.85,162.5,2.63,1
160.08,-9.69,2.0,847.0,161.508,-10.27,0.006,1260.0,161.42,-10.61,9.88,36.94,8.45,-101.95,0.18,34.33,801.0,847.0,5.3,5.3,7.89,5.93,-1.75,-8.27,-6.6,-20.66,6.18,-2.33,81.46,0.14,17.03,245.68,2.18,1
146.28,-6.75,12.0,698.0,144.235,-14.361,0.037,769.0,145.4,-12.6,0.0,0.0,6.34,164.15,0.19,211.42,849.0,829.0,1.8,1.8,0.0,0.0,-6.1,1.73,6.34,164.15,-6.1,1.73,24.19,0.0,11.58,102.34,1.86,1
