trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
3.41,42.30,0.00,0.00,1.97,-157.59,0.03,184.41,701,307,0.01,0.01,0.00,0.00,-1.82,-0.75,1.97,-157.59,-1.82,-0.75,204.33,0.00,74.37,2273.38,2.95
3.53,42.26,0.00,0.00,1.97,-179.12,0.18,206.01,701,307,0.12,0.12,0.00,0.00,-1.97,-0.03,1.97,-179.12,-1.97,-0.03,204.33,0.00,74.37,6593.02,2.95
3.75,42.18,0.00,0.00,1.98,-179.12,0.18,206.16,701,307,0.30,0.30,0.00,0.00,-1.98,-0.03,1.98,-179.12,-1.98,-0.03,204.33,0.00,74.37,6593.02,2.95
3.97,42.10,-0.40,119.97,1.83,-167.88,0.18,206.31,701,307036,0.48,0.48,-0.20,0.35,-1.79,-0.38,1.99,-179.13,-1.99,-0.03,204.33,0.00,771.21,6593.02,2.95
4.19,42.02,-0.41,120.84,1.83,-167.89,0.18,206.45,701,307036,0.66,0.66,-0.21,0.35,-1.79,-0.38,2.00,-179.13,-2.00,-0.03,204.33,0.00,771.21,6593.02,2.95
4.33,41.96,-0.41,98.90,1.83,169.58,0.06,229.08,701,307036,0.78,0.78,-0.06,0.40,-1.80,0.33,2.00,158.35,-1.86,0.74,204.33,0.00,771.21,6593.02,2.95
4.43,41.87,-0.41,99.53,1.83,169.58,0.17,229.14,701,307036,0.90,0.90,-0.07,0.40,-1.80,0.33,2.01,158.41,-1.87,0.74,204.33,0.00,771.21,6593.02,2.95
4.58,41.74,-0.41,100.47,1.83,169.59,0.17,229.24,701,307036,1.07,1.07,-0.07,0.40,-1.80,0.33,2.02,158.49,-1.88,0.74,204.33,0.00,771.21,6593.02,2.95
4.73,41.61,-0.41,101.40,1.83,169.59,0.17,229.34,701,307036,1.24,1.24,-0.08,0.40,-1.80,0.33,2.02,158.57,-1.88,0.74,204.33,0.00,771.21,6593.02,2.95
4.88,41.48,-0.41,102.32,1.83,169.60,0.17,229.44,701,307036,1.41,1.41,-0.09,0.40,-1.80,0.33,2.03,158.65,-1.89,0.74,204.33,0.00,771.21,6593.02,2.95
5.03,41.35,1.32,76.83,2.26,-166.04,0.19,229.54,701,307043,1.59,1.59,0.30,1.28,-2.20,-0.55,2.04,158.74,-1.90,0.74,204.33,0.01,771.21,6593.02,2.95
5.19,41.20,1.31,77.14,2.27,-166.05,0.19,229.65,701,307043,1.78,1.78,0.29,1.28,-2.20,-0.55,2.05,158.82,-1.91,0.74,204.33,0.01,771.21,6593.02,2.95
5.35,41.06,1.31,77.46,2.27,-166.05,0.19,229.75,701,307043,1.96,1.96,0.29,1.28,-2.20,-0.55,2.05,158.91,-1.92,0.74,204.33,0.01,771.21,6593.02,2.95
5.51,40.92,1.31,77.77,2.27,-166.06,0.19,229.86,701,307043,2.15,2.15,0.28,1.28,-2.20,-0.55,2.06,158.99,-1.92,0.74,204.33,0.01,771.21,6593.02,2.95
5.62,40.78,1.31,53.77,2.27,169.68,0.14,254.18,701,307043,2.31,2.31,0.77,1.06,-2.23,0.41,2.07,134.84,-1.46,1.47,204.33,0.01,771.21,6593.02,2.95
5.67,40.65,1.31,53.96,2.27,169.69,0.14,254.22,701,307043,2.45,2.45,0.77,1.06,-2.23,0.41,2.07,134.96,-1.46,1.47,204.33,0.01,771.21,6593.02,2.95
5.72,40.51,1.30,54.16,2.27,169.69,0.14,254.25,701,307043,2.59,2.59,0.76,1.06,-2.23,0.41,2.08,135.09,-1.47,1.47,204.33,0.01,771.21,6593.02,2.95
5.77,40.38,1.67,57.33,2.38,178.62,0.14,254.28,701,307046,2.73,2.73,0.90,1.40,-2.38,0.06,2.08,135.21,-1.48,1.47,204.33,0.01,771.21,6593.02,2.95
5.81,40.24,1.67,57.49,2.38,178.62,0.14,254.31,701,307046,2.87,2.87,0.89,1.40,-2.38,0.06,2.09,135.33,-1.48,1.47,204.33,0.01,771.21,6593.02,2.95
5.86,40.11,1.66,57.65,2.38,178.62,0.14,254.35,701,307046,3.01,3.01,0.89,1.40,-2.38,0.06,2.09,135.45,-1.49,1.47,204.33,0.01,771.21,6593.02,2.95
5.89,39.96,1.66,41.04,2.38,161.85,0.17,271.13,701,307046,3.16,3.16,1.25,1.09,-2.26,0.74,2.09,118.83,-1.01,1.83,204.33,0.02,771.21,6593.02,2.95
5.88,39.79,1.65,41.19,2.38,161.86,0.17,271.13,701,307046,3.33,3.33,1.24,1.09,-2.26,0.74,2.10,119.01,-1.02,1.83,204.33,0.02,771.21,6593.02,2.95
5.88,39.62,1.71,41.94,2.40,163.43,0.17,271.13,701,307048,3.50,3.50,1.28,1.15,-2.30,0.68,2.10,119.20,-1.03,1.83,204.33,0.03,771.21,6593.02,2.95
