trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
3.19,41.99,0.00,0.00,1.97,-157.59,0.03,184.74,701,307,0.01,0.01,0.00,0.00,-1.82,-0.75,1.97,-157.59,-1.82,-0.75,123.60,0.00,760.91,2423.56,2.77
3.31,41.95,0.00,0.00,1.97,-175.89,0.17,203.11,701,307,0.11,0.11,0.00,0.00,-1.97,-0.14,1.97,-175.89,-1.97,-0.14,123.60,0.00,760.91,2423.56,2.77
3.52,41.89,0.00,0.00,1.98,-175.91,0.17,203.24,701,307,0.28,0.28,0.00,0.00,-1.97,-0.14,1.98,-175.91,-1.97,-0.14,123.60,0.00,760.91,2423.56,2.77
3.72,41.82,-0.40,121.40,1.84,-164.81,0.17,203.38,701,307036,0.44,0.44,-0.21,0.34,-1.78,-0.48,1.99,-175.92,-1.98,-0.14,123.60,0.00,760.91,2423.56,2.77
3.92,41.76,-0.40,122.21,1.84,-164.82,0.17,203.52,701,307036,0.61,0.61,-0.21,0.34,-1.78,-0.48,2.00,-175.94,-1.99,-0.14,123.60,0.00,760.91,2423.56,2.77
4.06,41.69,-0.40,94.46,1.84,166.77,0.09,232.01,701,307036,0.74,0.74,-0.03,0.40,-1.79,0.42,2.00,155.67,-1.82,0.82,123.60,0.00,760.91,2423.56,2.77
4.18,41.57,-0.40,95.26,1.84,166.78,0.19,232.09,701,307036,0.88,0.88,-0.04,0.40,-1.79,0.42,2.01,155.75,-1.83,0.82,123.60,0.00,760.91,6366.87,2.77
4.34,41.42,-0.40,96.34,1.84,166.79,0.19,232.20,701,307036,1.07,1.07,-0.04,0.40,-1.79,0.42,2.01,155.85,-1.84,0.82,123.60,0.00,760.91,6366.87,2.77
4.49,41.27,-0.40,97.42,1.84,166.79,0.19,232.30,701,307036,1.26,1.26,-0.05,0.40,-1.80,0.42,2.02,155.96,-1.85,0.82,200.77,0.00,760.91,6366.87,2.94
4.64,41.13,1.31,73.05,2.28,-169.03,0.17,232.39,701,307043,1.44,1.44,0.38,1.25,-2.24,-0.43,2.03,156.05,-1.86,0.82,200.77,0.01,760.91,6366.87,2.94
4.77,41.00,1.31,73.32,2.28,-169.03,0.17,232.48,701,307043,1.61,1.61,0.38,1.25,-2.24,-0.43,2.04,156.14,-1.86,0.82,200.77,0.01,760.91,6366.87,2.94
4.91,40.87,1.31,73.60,2.28,-169.04,0.17,232.57,701,307043,1.77,1.77,0.37,1.25,-2.24,-0.43,2.04,156.22,-1.87,0.82,200.77,0.01,760.91,6366.87,2.94
5.04,40.73,1.31,73.88,2.28,-169.04,0.17,232.66,701,307043,1.94,1.94,0.36,1.25,-2.24,-0.43,2.05,156.31,-1.88,0.82,200.77,0.01,760.91,6366.87,2.94
5.14,40.57,1.30,51.04,2.28,167.84,0.19,255.84,701,307043,2.12,2.12,0.82,1.01,-2.23,0.48,2.06,133.33,-1.41,1.50,200.77,0.02,760.91,6366.87,2.94
5.20,40.39,1.30,51.30,2.28,167.85,0.19,255.88,701,307043,2.31,2.31,0.81,1.01,-2.23,0.48,2.06,133.50,-1.42,1.50,200.77,0.02,760.91,6366.87,2.94
5.26,40.20,1.66,54.75,2.39,176.73,0.19,255.92,701,307046,2.51,2.51,0.96,1.36,-2.39,0.14,2.07,133.68,-1.43,1.50,200.77,0.02,760.91,6366.87,2.94
5.32,40.01,1.66,54.97,2.39,176.73,0.19,255.96,701,307046,2.70,2.70,0.95,1.36,-2.39,0.14,2.08,133.85,-1.44,1.50,200.77,0.02,760.91,6366.87,2.94
5.35,39.83,1.65,39.70,2.39,161.28,0.17,271.42,701,307046,2.88,2.88,1.27,1.05,-2.27,0.77,2.08,118.58,-1.00,1.83,200.77,0.02,760.91,6366.87,2.94
5.35,39.67,1.65,39.85,2.39,161.29,0.17,271.42,701,307046,3.05,3.05,1.26,1.05,-2.27,0.77,2.08,118.77,-1.00,1.83,200.77,0.02,760.91,6366.87,2.94
5.34,39.50,1.71,40.62,2.41,162.86,0.17,271.42,701,307048,3.22,3.22,1.30,1.11,-2.31,0.71,2.09,118.95,-1.01,1.83,200.77,0.03,760.91,6366.87,2.94
5.34,39.33,1.70,40.77,2.42,162.86,0.17,271.41,701,307048,3.38,3.38,1.29,1.11,-2.31,0.71,2.09,119.13,-1.02,1.83,200.77,0.03,760.91,6366.87,2.94
5.32,39.18,1.70,35.88,2.42,157.85,0.14,276.42,701,307048,3.53,3.53,1.37,0.99,-2.24,0.91,2.09,114.28,-0.86,1.91,200.77,0.02,760.91,6366.87,2.94
5.30,39.04,1.69,35.99,2.42,157.86,0.14,276.41,701,307048,3.43,3.67,1.37,0.99,-2.24,0.91,2.10,114.43,-0.87,1.91,200.77,0.02,760.91,6366.87,2.94
5.28,38.91,1.69,36.10,2.42,157.87,0.14,276.39,701,307048,3.29,3.81,1.36,0.99,-2.24,0.91,2.10,114.58,-0.87,1.91,200.77,0.02,760.91,6366.87,2.94
5.26,38.78,1.78,38.27,2.42,160.66,0.14,276.38,701,307051,3.15,3.94,1.40,1.10,-2.28,0.80,2.10,114.73,-0.88,1.91,200.77,0.02,760.91,6366.87,2.94
5.25,38.64,1.78,38.38,2.42,160.67,0.14,276.37,701,307051,3.02,4.08,1.39,1.10,-2.28,0.80,2.10,114.88,-0.89,1.91,200.77,0.02,760.91,6366.87,2.94
5.23,38.51,1.77,38.49,2.42,160.67,0.14,276.36,701,307051,2.88,4.21,1.39,1.10,-2.28,0.80,2.11,115.03,-0.89,1.91,200.77,0.02,760.91,6366.87,2.94
5.20,38.37,1.77,33.35,2.42,155.43,0.14,281.59,701,307051,2.74,4.35,1.48,0.97,-2.20,1.01,2.11,109.94,-0.72,1.98,200.77,0.02,760.91,6366.87,2.94
5.16,38.23,1.77,33.34,2.43,155.53,0.14,281.57,701,307052,2.60,4.49,1.48,0.97,-2.21,1.00,2.11,110.10,-0.73,1.98,200.77,0.02,760.91,6366.87,2.94
5.12,38.09,1.77,33.15,2.43,155.25,0.15,281.84,701,307052,2.46,4.64,1.48,0.97,-2.20,1.02,2.11,109.98,-0.72,1.99,200.77,0.03,760.91,6366.87,2.94
5.08,37.94,1.76,33.26,2.43,155.26,0.15,281.81,701,307052,2.30,4.79,1.47,0.97,-2.20,1.02,2.12,110.15,-0.73,1.99,200.77,0.03,760.91,6366.87,2.94
5.04,37.79,1.86,34.86,2.44,157.86,0.15,281.79,701,307053,2.15,4.95,1.53,1.06,-2.26,0.92,2.12,110.32,-0.74,1.99,200.77,0.03,760.91,6366.87,2.94
5.01,37.64,1.85,34.96,2.44,157.87,0.15,281.76,701,307053,2.00,5.10,1.52,1.06,-2.26,0.92,2.12,110.50,-0.74,1.99,200.77,0.03,760.91,6366.87,2.94
4.97,37.48,1.85,37.31,2.44,160.10,0.17,279.51,701,307053,1.83,5.26,1.47,1.12,-2.30,0.83,2.12,112.91,-0.83,1.96,200.77,0.03,760.91,6366.87,2.94
4.93,37.31,1.84,37.44,2.44,160.11,0.17,279.49,701,307053,1.66,5.43,1.46,1.12,-2.30,0.83,2.13,113.09,-0.83,1.96,148.56,0.03,760.91,6366.87,2.33
4.90,37.14,2.11,42.52,2.45,167.57,0.17,279.47,701,307055,1.49,5.60,1.55,1.42,-2.40,0.53,2.13,113.28,-0.84,1.96,148.56,0.03,760.91,6366.87,2.33
4.86,36.97,2.10,42.65,2.45,167.57,0.17,279.45,701,307055,1.32,5.77,1.55,1.42,-2.40,0.53,2.13,113.47,-0.85,1.96,148.56,0.03,760.91,6366.87,2.33
4.78,36.81,2.10,20.68,2.45,145.51,0.19,301.47,701,307055,1.14,5.95,1.96,0.74,-2.02,1.39,2.13,91.61,-0.06,2.13,148.56,0.04,760.91,6366.87,2.33
4.66,36.64,2.09,20.76,2.45,145.52,0.19,301.39,701,307055,0.95,6.15,1.95,0.74,-2.02,1.39,2.13,91.84,-0.07,2.13,148.56,0.04,760.91,6366.87,2.33
4.53,36.48,2.10,25.68,2.32,148.33,0.19,301.32,701,307058,0.75,6.34,1.90,0.91,-1.97,1.22,2.14,92.07,-0.08,2.13,148.56,0.04,760.91,2631.13,2.33
4.41,36.31,2.10,25.78,2.32,148.34,0.19,301.24,701,307058,0.56,6.53,1.89,0.91,-1.98,1.22,2.14,92.30,-0.09,2.13,148.56,0.04,760.91,2631.13,2.33
4.29,36.19,2.09,3.96,2.32,126.48,0.12,323.04,701,307058,0.41,6.69,2.09,0.14,-1.38,1.87,-2.13,70.61,0.71,2.01,148.56,0.03,760.91,2631.13,2.33
4.17,36.12,2.09,3.97,2.32,126.49,0.12,322.97,701,307058,0.29,6.80,2.08,0.14,-1.38,1.87,-2.13,70.74,0.70,2.01,148.56,0.03,760.91,2631.13,2.33
4.06,36.05,1.96,4.27,2.25,123.95,0.12,322.91,701,307060,0.18,6.92,1.95,0.15,-1.26,1.87,-2.13,70.87,0.70,2.01,148.56,0.03,760.91,2631.13,2.33
3.94,35.99,1.95,4.28,2.25,123.96,0.12,322.84,701,307060,0.06,7.04,1.95,0.15,-1.26,1.87,-2.13,71.00,0.69,2.01,148.56,0.03,760.91,2631.13,2.33
3.89,35.95,1.95,1.42,2.25,121.09,0.00,325.67,701,307060,0.00,7.09,1.95,0.05,-1.16,1.93,-2.13,68.20,0.79,1.98,148.56,0.00,760.91,2631.13,2.33
3.88,35.95,1.95,1.52,2.25,121.26,0.00,325.67,701,714001,0.00,0.00,1.95,0.05,-1.17,1.92,-2.13,68.20,0.79,1.98,148.56,0.00,760.91,2631.13,2.33
3.83,35.92,1.95,-4.18,2.25,115.57,0.09,331.33,701,714001,0.05,0.05,1.95,-0.14,-0.97,2.03,-2.13,62.56,0.98,1.89,148.56,0.02,760.91,2631.13,2.33
3.73,35.88,1.88,-4.05,2.21,114.07,0.09,331.27,701,714002,0.14,0.14,1.87,-0.13,-0.90,2.02,-2.13,62.66,0.98,1.89,148.56,0.02,760.91,2631.13,2.33
3.63,35.86,1.88,-36.81,-2.21,81.35,0.08,3.94,701,714002,0.23,0.23,1.50,-1.12,0.33,2.19,-2.12,30.01,1.84,1.06,148.56,0.01,760.91,2631.13,2.33
3.53,35.86,1.70,-39.59,-2.21,76.33,0.08,3.88,701,714003,0.32,0.32,1.31,-1.08,0.52,2.15,-2.12,30.06,1.84,1.06,148.56,0.01,760.91,2631.13,2.33
3.42,35.87,1.70,-43.41,-2.21,72.60,0.08,7.56,701,714003,0.40,0.40,1.23,-1.17,0.66,2.11,-2.12,26.37,1.90,0.94,148.56,0.01,760.91,2631.13,2.33
3.32,35.88,1.53,-46.62,-2.22,67.75,0.08,7.50,701,714004,0.48,0.48,1.05,-1.11,0.84,2.05,-2.11,26.41,1.89,0.94,148.56,0.01,760.91,2631.13,2.33
3.21,35.90,1.53,-47.51,-2.22,66.98,0.10,8.22,701,714004,0.58,0.58,1.03,-1.12,0.87,2.04,-2.11,25.68,1.90,0.91,148.56,0.01,760.91,2631.13,2.33
3.08,35.91,1.32,-52.17,-2.24,61.12,0.10,8.15,701,714005,0.68,0.68,0.81,-1.05,1.08,1.96,-2.11,25.73,1.90,0.91,148.56,0.01,760.91,2631.13,2.33
2.94,35.90,1.32,-29.78,-2.24,83.66,0.14,345.54,701,714005,0.80,0.80,1.15,-0.66,0.25,2.23,-2.10,48.35,1.40,1.57,148.56,0.02,760.91,2631.13,2.33
2.77,35.87,1.14,-29.76,-2.17,79.38,0.14,345.44,701,714006,0.94,0.94,0.99,-0.56,0.40,2.13,-2.10,48.47,1.39,1.57,148.56,0.02,760.91,2631.13,2.33
2.60,35.82,1.13,-25.39,-2.17,83.92,0.15,340.82,701,714006,1.08,1.08,1.02,-0.48,0.23,2.16,-2.09,53.13,1.26,1.67,148.56,0.02,760.91,2631.13,2.33
2.42,35.77,1.02,-22.99,-2.10,81.60,0.15,340.72,701,714007,1.24,1.24,0.94,-0.40,0.31,2.07,-2.09,53.28,1.25,1.67,126.92,0.02,760.91,2093.70,2.78
2.26,35.72,1.01,-20.34,-2.10,84.38,0.13,337.86,701,714007,1.38,1.38,0.95,-0.35,0.21,2.09,-2.09,56.19,1.16,1.73,126.92,0.01,101.72,2093.70,2.78
2.11,35.67,0.91,-20.43,-2.07,81.74,0.13,337.77,701,714008,1.51,1.51,0.85,-0.32,0.30,2.05,-2.08,56.32,1.15,1.73,126.92,0.01,101.72,2093.70,2.78
1.96,35.62,0.91,-12.52,-2.07,89.76,0.13,329.68,701,714008,1.64,1.64,0.88,-0.20,0.01,2.07,-2.08,64.47,0.90,1.88,126.92,0.01,101.72,2093.70,2.78
1.83,35.55,0.84,-14.10,-2.08,88.10,0.13,329.60,701,714009,1.77,1.77,0.82,-0.21,0.07,2.08,-2.08,64.61,0.89,1.88,126.92,0.01,101.72,2093.70,2.78
1.68,35.48,0.84,-12.24,2.08,90.07,0.15,327.56,701,714009,1.91,1.91,0.82,-0.18,-0.00,2.08,-2.07,66.72,0.82,1.91,126.92,0.01,101.72,2093.70,2.78
1.52,35.40,0.77,-15.59,-2.11,88.25,0.15,327.47,701,714010,2.06,2.06,0.74,-0.21,0.06,2.11,-2.07,66.90,0.81,1.91,126.92,0.01,101.72,2093.70,2.78
1.37,35.33,0.77,-24.98,-2.11,79.03,0.14,336.61,701,714010,2.21,2.21,0.70,-0.32,0.40,2.08,-2.07,57.83,1.10,1.75,126.92,0.01,101.72,2093.70,2.78
1.21,35.27,0.76,-25.16,-2.11,79.05,0.14,336.52,701,714010,2.35,2.35,0.69,-0.32,0.40,2.08,-2.07,57.98,1.09,1.75,126.92,0.01,101.72,2093.70,2.78
1.05,35.21,0.62,-4.21,-1.86,75.51,0.14,336.43,701,714011,2.49,2.49,0.62,-0.05,0.46,1.80,-2.06,58.13,1.09,1.75,126.92,0.01,101.72,2093.70,2.78
0.89,35.16,0.62,-4.25,-1.86,75.53,0.14,336.34,701,714011,2.63,2.63,0.61,-0.05,0.46,1.80,-2.06,58.28,1.08,1.75,126.92,0.01,101.72,2093.70,2.78
0.73,35.10,0.61,-4.73,-1.86,75.11,0.14,336.68,701,714011,2.77,2.77,0.61,-0.05,0.48,1.79,-2.05,58.00,1.09,1.74,126.92,0.01,101.72,2093.70,2.78
0.57,35.05,0.60,-4.77,-1.86,75.13,0.14,336.59,701,714011,2.91,2.91,0.60,-0.05,0.48,1.79,-2.05,58.15,1.08,1.74,128.89,0.01,101.72,2398.49,2.78
0.41,34.99,0.57,23.63,-1.61,69.94,0.14,336.50,701,714012,3.05,3.05,0.52,0.23,0.55,1.52,-2.05,58.30,1.08,1.74,125.26,0.01,101.72,2359.89,2.77
0.26,34.93,0.56,23.86,-1.61,69.97,0.14,336.41,701,714012,3.19,3.19,0.51,0.23,0.55,1.52,-2.04,58.45,1.07,1.74,125.26,0.01,101.72,2359.89,2.77
0.09,34.88,0.56,18.87,-1.61,64.78,0.15,341.53,701,714012,3.34,3.34,0.53,0.18,0.69,1.46,-2.04,53.39,1.22,1.64,125.26,0.01,101.72,2359.89,2.77
-0.08,34.84,0.55,19.08,-1.61,64.80,0.15,341.43,701,714012,3.49,3.49,0.52,0.18,0.69,1.46,-2.04,53.55,1.21,1.64,125.26,0.01,101.72,2359.89,2.77
-0.25,34.79,0.65,51.40,-1.39,54.87,0.15,341.34,701,714013,3.63,3.63,0.40,0.51,0.80,1.13,-2.03,53.70,1.20,1.64,125.26,0.01,101.72,2359.89,2.77
-0.42,34.74,0.64,51.82,-1.39,54.90,0.15,341.24,701,714013,3.78,3.78,0.40,0.51,0.80,1.13,-2.03,53.85,1.20,1.64,125.26,0.01,101.72,2359.89,2.77
-0.61,34.69,0.64,48.93,-1.39,51.57,0.19,344.49,701,714013,3.95,3.95,0.42,0.48,0.86,1.09,-2.02,50.67,1.28,1.57,138.23,0.01,101.72,2785.45,2.59
-0.84,34.64,0.68,63.53,-1.36,44.68,0.19,344.36,701,714014,4.14,4.14,0.30,0.61,0.97,0.96,-2.02,50.86,1.27,1.57,138.23,0.01,101.72,2785.45,2.59
-1.01,34.60,0.68,62.18,-1.36,42.90,0.11,346.07,701,714014,4.29,4.29,0.32,0.60,1.00,0.93,-2.01,49.20,1.32,1.52,138.23,0.00,101.72,2785.45,2.59
-1.14,34.58,0.67,62.52,-1.36,42.91,0.11,346.00,701,714014,4.40,4.40,0.31,0.60,1.00,0.93,-2.01,49.31,1.31,1.52,138.23,0.00,101.72,2785.45,2.59
-1.27,34.55,0.61,71.66,-1.46,40.44,0.11,345.92,701,714015,4.37,4.50,0.19,0.58,1.11,0.95,-2.01,49.42,1.31,1.52,138.23,0.00,101.72,2785.45,2.59
-1.39,34.52,0.61,72.07,-1.46,40.46,0.11,345.85,701,714015,4.26,4.61,0.19,0.58,1.11,0.95,-2.00,49.53,1.30,1.52,138.23,0.00,101.72,2785.45,2.59
