trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
4.94,43.35,-0.29,111.40,1.66,-129.18,0.03,182.04,701,307,0.01,0.01,-0.11,0.27,-1.05,-1.28,1.53,-138.67,-1.15,-1.01,4.78,0.00,40.51,319.83,1.26
5.04,43.32,0.29,80.54,1.66,-159.59,0.14,212.44,701,307,0.10,0.10,0.05,0.29,-1.56,-0.58,1.54,-169.03,-1.51,-0.29,4.78,0.00,40.51,319.83,1.26
5.20,43.24,0.29,79.65,1.67,-159.71,0.14,212.54,701,307,0.23,0.23,0.05,0.29,-1.57,-0.58,1.54,-169.06,-1.51,-0.29,4.78,0.00,40.51,319.83,1.26
5.34,43.18,0.35,-66.80,1.66,179.02,0.10,212.64,701,307036,0.35,0.35,0.14,-0.32,-1.66,0.03,1.55,-169.10,-1.52,-0.29,4.78,0.00,40.51,319.83,1.26
5.46,43.12,0.35,-67.07,1.66,179.02,0.10,212.72,701,307036,0.46,0.46,0.14,-0.32,-1.66,0.03,1.55,-169.12,-1.52,-0.29,4.78,0.00,40.51,319.83,1.26
5.56,43.08,0.35,-67.30,1.66,179.03,0.07,212.79,701,307036,0.54,0.54,0.13,-0.32,-1.66,0.03,1.55,-169.15,-1.53,-0.29,4.78,0.00,40.51,319.83,1.26
5.72,43.03,0.35,-50.10,1.66,-163.49,0.19,195.40,701,307036,0.67,0.67,0.22,-0.27,-1.59,-0.47,1.56,-151.71,-1.37,-0.74,4.78,0.00,40.51,319.83,1.26
5.97,42.98,0.45,-46.04,1.74,-166.24,0.19,195.56,701,307037,0.86,0.86,0.31,-0.33,-1.69,-0.41,1.56,-151.83,-1.38,-0.74,4.78,0.00,40.51,319.83,1.26
6.15,42.95,0.45,-42.80,1.74,-162.81,0.09,192.23,701,307037,1.00,1.00,0.33,-0.31,-1.67,-0.52,1.57,-148.47,-1.34,-0.82,4.78,0.00,40.51,319.83,1.26
6.27,42.93,0.47,-15.22,1.92,-158.69,0.09,192.31,701,307038,1.09,1.09,0.45,-0.12,-1.79,-0.70,1.57,-148.53,-1.34,-0.82,4.78,0.00,40.51,319.83,1.26
