trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
5.48,43.69,-0.28,150.66,2.56,-136.08,0.03,181.35,701,307,0.01,0.01,-0.24,0.14,-1.85,-1.78,2.66,-141.78,-2.09,-1.64,8.38,0.00,52.29,392.15,1.39
5.56,43.66,-0.28,122.48,2.57,-163.97,0.10,209.26,701,307,0.08,0.08,-0.15,0.23,-2.47,-0.71,2.66,-169.65,-2.62,-0.48,8.38,0.00,52.29,392.15,1.39
5.68,43.61,-0.28,121.91,2.57,-164.01,0.10,209.35,701,307,0.18,0.18,-0.15,0.23,-2.47,-0.71,2.66,-169.66,-2.62,-0.48,8.38,0.00,52.29,392.15,1.39
5.82,43.55,-0.22,-111.81,2.56,-173.85,0.14,209.45,701,307036,0.30,0.30,-0.08,-0.21,-2.54,-0.27,2.67,-169.68,-2.62,-0.48,8.38,0.00,52.29,392.15,1.39
5.95,43.50,-0.22,-112.27,2.56,-173.85,0.06,209.53,701,307036,0.40,0.40,-0.08,-0.21,-2.54,-0.27,2.67,-169.69,-2.63,-0.48,8.38,0.00,52.29,392.15,1.39
6.10,43.47,-0.22,-92.87,2.56,-153.89,0.17,189.67,701,307036,0.52,0.52,-0.01,-0.22,-2.30,-1.13,2.67,-149.75,-2.31,-1.35,8.38,0.00,52.29,392.15,1.39
6.34,43.44,0.45,-63.29,2.69,-159.33,0.17,189.83,701,307037,0.69,0.69,0.20,-0.40,-2.52,-0.95,2.68,-149.81,-2.32,-1.35,8.38,0.00,52.29,392.15,1.39
6.53,43.42,0.45,-57.62,2.69,-153.38,0.12,183.99,701,307037,0.84,0.84,0.24,-0.38,-2.41,-1.21,2.68,-143.90,-2.17,-1.58,8.38,0.00,52.29,392.15,1.39
6.69,43.42,0.38,-28.20,2.87,-150.70,0.12,184.10,701,307038,0.95,0.95,0.33,-0.18,-2.50,-1.40,2.69,-143.94,-2.17,-1.58,8.38,0.00,52.29,392.15,1.39
6.86,43.38,0.38,-50.17,2.87,-172.45,0.14,205.96,701,307038,1.08,1.08,0.24,-0.29,-2.85,-0.38,2.69,-165.72,-2.61,-0.66,8.38,0.00,52.29,392.15,1.39
7.03,43.32,0.18,-23.42,2.84,-167.94,0.14,206.07,701,307039,1.21,1.21,0.17,-0.07,-2.78,-0.59,2.69,-165.74,-2.61,-0.66,8.38,0.00,52.29,392.15,1.39
7.17,43.31,0.18,23.36,2.84,-121.12,0.09,159.34,701,307039,1.33,1.33,0.17,0.07,-1.47,-2.43,2.70,-118.95,-1.30,-2.36,8.38,0.00,52.29,392.15,1.39
7.29,43.34,0.36,37.50,3.03,-121.63,0.09,159.42,701,307040,1.42,1.42,0.28,0.22,-1.59,-2.58,2.70,-119.00,-1.31,-2.36,8.38,0.00,52.29,392.15,1.39
7.42,43.36,0.35,16.93,3.03,-142.35,0.11,180.22,701,307040,1.52,1.52,0.34,0.10,-2.40,-1.85,2.70,-139.75,-2.06,-1.74,8.38,0.00,52.29,392.15,1.39
7.58,43.36,0.46,14.82,3.12,-143.35,0.11,180.32,701,307041,1.64,1.64,0.44,0.12,-2.50,-1.86,2.70,-139.80,-2.06,-1.74,8.38,0.00,52.29,392.15,1.39
7.72,43.33,0.45,-18.49,3.12,-176.66,0.11,213.72,701,307041,1.75,1.75,0.43,-0.14,-3.12,-0.18,2.71,-173.13,-2.69,-0.32,8.38,0.00,52.29,392.15,1.39
