trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
7.07,44.80,-0.30,160.62,2.51,-133.90,0.03,180.12,701,307,0.01,0.01,-0.29,0.10,-1.74,-1.81,2.65,-139.80,-2.02,-1.71,14.15,0.00,95.32,587.41,1.50
7.13,44.79,-0.30,137.17,2.51,-157.24,0.06,203.46,701,307,0.06,0.06,-0.22,0.21,-2.31,-0.97,2.65,-163.11,-2.53,-0.77,14.15,0.00,95.32,587.41,1.50
7.17,44.77,-0.30,137.04,2.51,-157.25,0.00,203.49,701,307,0.09,0.09,-0.22,0.21,-2.32,-0.97,2.65,-163.12,-2.53,-0.77,14.15,0.00,95.32,587.41,1.50
7.22,44.76,-0.33,-132.89,2.37,-167.16,0.06,203.52,701,307036,0.12,0.12,-0.23,-0.25,-2.31,-0.53,2.65,-163.12,-2.54,-0.77,14.15,0.00,95.32,587.41,1.50
7.35,44.78,0.34,-85.51,2.37,-119.49,0.15,155.92,701,307036,0.23,0.23,0.03,-0.33,-1.17,-2.06,2.65,-115.48,-1.14,-2.39,14.15,0.00,95.32,587.41,1.50
7.55,44.84,0.44,-32.15,2.64,-125.12,0.15,156.06,701,307037,0.38,0.38,0.37,-0.24,-1.52,-2.16,2.65,-115.58,-1.15,-2.39,14.15,0.00,95.32,587.41,1.50
7.78,44.88,0.44,-51.00,2.64,-143.73,0.18,174.80,701,307037,0.55,0.55,0.28,-0.34,-2.13,-1.56,2.66,-134.25,-1.85,-1.90,14.15,0.00,95.32,587.41,1.50
8.03,44.90,0.36,-21.26,2.82,-141.03,0.18,174.98,701,307038,0.73,0.73,0.34,-0.13,-2.19,-1.77,2.66,-134.34,-1.86,-1.90,14.15,0.00,95.32,587.41,1.50
8.22,44.88,0.36,-59.08,2.82,-178.63,0.10,212.70,701,307038,0.87,0.87,0.18,-0.31,-2.82,-0.07,2.67,-171.98,-2.64,-0.37,14.15,0.00,95.32,587.41,1.50
8.34,44.82,0.36,-59.34,2.83,-178.63,0.10,212.78,701,307038,0.97,0.97,0.18,-0.31,-2.82,-0.07,2.67,-171.99,-2.64,-0.37,14.15,0.00,95.32,587.41,1.50
8.46,44.76,0.16,-32.36,2.79,-174.04,0.10,212.87,701,307039,1.08,1.08,0.13,-0.08,-2.78,-0.29,2.67,-172.00,-2.65,-0.37,14.15,0.00,95.32,587.41,1.50
8.58,44.71,0.16,-32.74,2.79,-174.04,0.10,212.95,701,307039,1.18,1.18,0.13,-0.08,-2.78,-0.29,2.67,-172.01,-2.65,-0.37,14.15,0.00,95.32,587.41,1.50
8.72,44.72,0.15,35.64,2.80,-105.78,0.14,144.77,701,307039,1.30,1.30,0.13,0.09,-0.76,-2.69,2.68,-103.78,-0.64,-2.60,14.15,0.00,95.32,587.41,1.50
8.89,44.80,0.33,52.67,2.98,-106.33,0.14,144.89,701,307040,1.44,1.44,0.20,0.26,-0.84,-2.86,2.68,-103.87,-0.64,-2.60,14.15,0.00,95.32,587.41,1.50
9.05,44.86,0.33,32.66,2.98,-126.65,0.12,165.30,701,307040,1.58,1.58,0.27,0.18,-1.78,-2.39,2.68,-124.25,-1.51,-2.22,14.15,0.00,95.32,587.41,1.50
9.22,44.89,0.43,30.44,3.08,-127.67,0.12,165.41,701,307041,1.70,1.70,0.37,0.22,-1.88,-2.43,2.68,-124.32,-1.51,-2.22,14.15,0.00,95.32,587.41,1.50
9.39,44.86,0.43,-23.69,3.08,178.19,0.15,219.66,701,307041,1.84,1.84,0.39,-0.17,-3.08,0.10,2.69,-178.48,-2.68,-0.07,14.15,0.00,95.32,587.41,1.50
9.55,44.76,0.42,-23.84,3.08,178.19,0.15,219.77,701,307041,1.99,1.99,0.39,-0.17,-3.08,0.10,2.69,-178.48,-2.69,-0.07,14.15,0.00,95.32,587.41,1.50
9.72,44.67,0.35,20.73,3.02,-176.27,0.15,219.89,701,307042,2.14,2.14,0.32,0.12,-3.02,-0.20,2.70,-178.48,-2.69,-0.07,14.15,0.00,95.32,587.41,1.50
9.88,44.57,0.34,20.90,3.03,-176.27,0.15,220.00,701,307042,2.29,2.29,0.32,0.12,-3.02,-0.20,2.70,-178.48,-2.70,-0.07,14.15,0.00,95.32,587.41,1.50
10.04,44.53,0.34,72.95,3.03,-124.48,0.11,168.31,701,307042,2.42,2.42,0.10,0.33,-1.71,-2.50,2.70,-126.71,-1.62,-2.17,14.15,0.00,95.32,587.41,1.50
10.19,44.55,0.34,73.28,3.03,-124.51,0.11,168.42,701,307042,2.54,2.54,0.10,0.33,-1.72,-2.50,2.71,-126.77,-1.62,-2.17,14.15,0.00,95.32,587.41,1.50
10.35,44.58,0.60,55.67,3.30,-126.33,0.11,168.53,701,307043,2.65,2.65,0.34,0.49,-1.96,-2.66,2.71,-126.83,-1.62,-2.17,14.15,0.00,95.32,587.41,1.50
10.51,44.60,0.59,55.83,3.30,-126.35,0.11,168.64,701,307043,2.76,2.76,0.33,0.49,-1.96,-2.66,2.71,-126.89,-1.63,-2.17,14.15,0.00,95.32,587.41,1.50
10.72,44.59,0.59,33.60,3.31,-148.78,0.20,191.19,701,307043,2.92,2.92,0.49,0.33,-2.83,-1.71,2.71,-149.36,-2.33,-1.38,14.15,0.00,95.32,587.41,1.50
10.99,44.55,0.76,34.96,3.48,-148.42,0.20,191.39,701,307044,3.12,3.12,0.62,0.43,-2.96,-1.82,2.72,-149.43,-2.34,-1.38,14.15,0.01,95.32,587.41,1.50
11.20,44.47,0.76,-5.44,3.48,171.11,0.15,231.99,701,307044,3.29,3.29,0.75,-0.07,-3.44,0.54,2.72,170.09,-2.68,0.47,14.15,0.00,95.32,587.41,1.50
11.33,44.35,0.75,-5.46,3.48,171.12,0.15,232.08,701,307044,3.44,3.44,0.75,-0.07,-3.44,0.54,2.73,170.10,-2.69,0.47,14.15,0.00,95.32,587.41,1.50
11.46,44.23,0.79,1.67,3.51,172.75,0.15,232.17,701,307045,3.60,3.60,0.79,0.02,-3.48,0.44,2.73,170.12,-2.69,0.47,14.15,0.01,95.32,587.41,1.50
11.59,44.11,0.78,1.67,3.51,172.75,0.15,232.26,701,307045,3.75,3.75,0.78,0.02,-3.48,0.44,2.74,170.14,-2.70,0.47,14.15,0.01,95.32,587.41,1.50
11.75,44.00,0.78,14.97,3.51,-173.98,0.18,219.11,701,307045,3.91,3.91,0.76,0.20,-3.49,-0.37,2.74,-176.59,-2.74,-0.16,14.15,0.01,95.32,587.41,1.50
11.94,43.88,0.78,15.03,3.51,-173.99,0.18,219.24,701,307045,4.10,4.10,0.75,0.20,-3.49,-0.37,2.75,-176.60,-2.74,-0.16,14.15,0.01,95.32,587.41,1.50
12.14,43.77,0.78,15.10,3.52,-173.99,0.18,219.38,701,307045,4.28,4.28,0.75,0.20,-3.50,-0.37,2.75,-176.61,-2.75,-0.16,14.15,0.01,95.32,587.41,1.50
12.33,43.65,1.19,38.27,3.80,-166.22,0.18,219.51,701,307046,4.46,4.46,0.94,0.74,-3.69,-0.91,2.76,-176.61,-2.75,-0.16,14.15,0.01,95.32,587.41,1.50
12.53,43.54,1.19,38.37,3.80,-166.22,0.18,219.65,701,307046,4.64,4.64,0.93,0.74,-3.69,-0.91,2.76,-176.62,-2.76,-0.16,14.15,0.01,95.32,587.41,1.50
12.72,43.42,1.19,38.47,3.80,-166.23,0.18,219.78,701,307046,4.82,4.82,0.93,0.74,-3.69,-0.91,2.77,-176.63,-2.76,-0.16,14.15,0.01,95.32,587.41,1.50
