trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
6.16,44.17,-0.29,155.08,2.54,-135.51,0.03,180.82,701,307,0.01,0.01,-0.26,0.12,-1.82,-1.78,2.66,-141.26,-2.08,-1.67,10.47,0.00,72.21,435.80,1.44
6.27,44.14,-0.29,130.34,2.55,-159.91,0.14,205.26,701,307,0.10,0.10,-0.19,0.22,-2.39,-0.88,2.66,-165.63,-2.58,-0.66,10.47,0.00,72.21,435.80,1.44
6.38,44.10,-0.23,-110.22,2.54,-169.79,0.03,205.33,701,307036,0.19,0.19,-0.08,-0.21,-2.50,-0.45,2.67,-165.65,-2.58,-0.66,10.47,0.00,72.21,435.80,1.44
6.47,44.07,-0.23,-110.55,2.55,-169.80,0.11,205.39,701,307036,0.26,0.26,-0.08,-0.21,-2.51,-0.45,2.67,-165.66,-2.59,-0.66,10.47,0.00,72.21,435.80,1.44
6.64,44.05,0.23,-84.47,2.55,-143.13,0.15,178.83,701,307036,0.39,0.39,0.02,-0.23,-2.04,-1.53,2.67,-139.02,-2.02,-1.75,10.47,0.00,72.21,435.80,1.44
6.86,44.05,0.45,-53.55,2.68,-148.58,0.15,178.98,701,307037,0.54,0.54,0.26,-0.36,-2.29,-1.40,2.68,-139.09,-2.02,-1.75,10.47,0.00,72.21,435.80,1.44
7.06,44.05,0.44,-53.71,2.68,-148.47,0.14,178.99,701,307037,0.69,0.69,0.26,-0.36,-2.28,-1.40,2.68,-139.02,-2.02,-1.76,10.47,0.00,72.21,435.80,1.44
7.26,44.06,0.37,-24.13,2.86,-145.77,0.14,179.13,701,307038,0.83,0.83,0.34,-0.15,-2.36,-1.61,2.68,-139.09,-2.03,-1.76,10.47,0.00,72.21,435.80,1.44
7.46,44.02,0.37,-54.64,2.86,-176.02,0.17,209.50,701,307038,0.99,0.99,0.21,-0.30,-2.85,-0.20,2.69,-169.37,-2.64,-0.50,10.47,0.00,72.21,435.80,1.44
7.66,43.93,0.17,-27.85,2.83,-171.49,0.17,209.64,701,307039,1.15,1.15,0.15,-0.08,-2.80,-0.42,2.69,-169.39,-2.65,-0.50,10.47,0.00,72.21,435.80,1.44
