trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
3.30,42.14,0.00,0.00,1.97,-157.59,0.03,184.58,701,307,0.01,0.01,0.00,0.00,-1.82,-0.75,1.97,-157.59,-1.82,-0.75,124.57,0.00,765.64,2429.48,2.77
3.42,42.11,0.00,0.00,1.97,-177.55,0.17,204.60,701,307,0.11,0.11,0.00,0.00,-1.97,-0.08,1.97,-177.55,-1.97,-0.08,124.57,0.00,765.64,2429.48,2.77
3.64,42.03,0.00,0.00,1.98,-177.56,0.17,204.74,701,307,0.29,0.29,0.00,0.00,-1.98,-0.08,1.98,-177.56,-1.98,-0.08,124.57,0.00,765.64,2429.48,2.77
3.85,41.96,-0.40,120.65,1.83,-166.39,0.17,204.89,701,307036,0.46,0.46,-0.20,0.34,-1.78,-0.43,1.99,-177.57,-1.99,-0.08,124.57,0.00,765.64,2429.48,2.77
4.06,41.89,-0.40,121.49,1.83,-166.40,0.17,205.03,701,307036,0.63,0.63,-0.21,0.34,-1.78,-0.43,2.00,-177.58,-1.99,-0.08,205.71,0.00,765.64,6697.04,2.95
4.20,41.82,-0.41,96.78,1.84,168.26,0.08,230.46,701,307036,0.76,0.76,-0.05,0.40,-1.80,0.37,2.00,157.10,-1.84,0.78,205.71,0.00,765.64,6697.04,2.95
4.30,41.73,-0.41,97.44,1.84,168.26,0.16,230.53,701,307036,0.88,0.88,-0.05,0.40,-1.80,0.37,2.01,157.16,-1.85,0.78,205.71,0.00,765.64,6697.04,2.95
4.43,41.61,-0.41,98.31,1.84,168.27,0.16,230.62,701,307036,1.03,1.03,-0.06,0.40,-1.80,0.37,2.01,157.24,-1.86,0.78,205.71,0.00,765.64,6697.04,2.95
4.56,41.49,-0.41,99.17,1.84,168.27,0.16,230.71,701,307036,1.19,1.19,-0.06,0.40,-1.80,0.37,2.02,157.32,-1.86,0.78,205.71,0.00,765.64,6697.04,2.95
4.70,41.37,-0.41,100.04,1.84,168.28,0.16,230.79,701,307036,1.35,1.35,-0.07,0.40,-1.80,0.37,2.03,157.39,-1.87,0.78,205.71,0.00,765.64,6697.04,2.95
4.84,41.24,1.31,75.02,2.27,-167.45,0.18,230.88,701,307043,1.51,1.51,0.34,1.27,-2.22,-0.49,2.03,157.48,-1.88,0.78,205.71,0.01,765.64,6697.04,2.95
4.98,41.10,1.31,75.32,2.27,-167.46,0.18,230.98,701,307043,1.69,1.69,0.33,1.27,-2.22,-0.49,2.04,157.56,-1.89,0.78,205.71,0.01,765.64,6697.04,2.95
5.13,40.96,1.31,75.61,2.27,-167.46,0.18,231.08,701,307043,1.87,1.87,0.33,1.27,-2.22,-0.49,2.05,157.65,-1.90,0.78,205.71,0.01,765.64,6697.04,2.95
5.28,40.83,1.31,75.91,2.27,-167.47,0.18,231.17,701,307043,2.04,2.04,0.32,1.27,-2.22,-0.49,2.06,157.73,-1.90,0.78,205.71,0.01,765.64,6697.04,2.95
5.37,40.69,1.31,52.42,2.28,168.80,0.13,254.97,701,307043,2.20,2.20,0.80,1.03,-2.23,0.44,2.06,134.10,-1.44,1.48,205.71,0.01,765.64,6697.04,2.95
5.42,40.56,1.30,52.60,2.28,168.80,0.13,255.00,701,307043,2.33,2.33,0.79,1.03,-2.23,0.44,2.07,134.22,-1.44,1.48,205.71,0.01,765.64,6697.04,2.95
5.46,40.43,1.30,52.79,2.28,168.81,0.13,255.03,701,307043,2.47,2.47,0.79,1.03,-2.23,0.44,2.07,134.35,-1.45,1.48,205.71,0.01,765.64,6697.04,2.95
5.51,40.30,1.66,56.06,2.38,177.71,0.13,255.06,701,307046,2.60,2.60,0.93,1.38,-2.38,0.10,2.07,134.47,-1.45,1.48,205.71,0.01,765.64,6697.04,2.95
5.55,40.18,1.66,56.21,2.39,177.71,0.13,255.09,701,307046,2.73,2.73,0.92,1.38,-2.38,0.10,2.08,134.58,-1.46,1.48,205.71,0.01,765.64,6697.04,2.95
5.60,40.05,1.66,56.37,2.39,177.71,0.13,255.12,701,307046,2.87,2.87,0.92,1.38,-2.38,0.10,2.08,134.70,-1.47,1.48,205.71,0.01,765.64,6697.04,2.95
5.62,39.90,1.65,40.37,2.39,161.57,0.17,271.27,701,307046,3.02,3.02,1.26,1.07,-2.26,0.75,2.09,118.71,-1.00,1.83,205.71,0.02,765.64,6697.04,2.95
5.61,39.73,1.65,40.52,2.39,161.58,0.17,271.27,701,307046,3.19,3.19,1.25,1.07,-2.27,0.75,2.09,118.89,-1.01,1.83,205.71,0.02,765.64,6697.04,2.95
