trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
6.39,44.33,-0.29,156.51,2.54,-135.32,0.03,180.65,701,307,0.01,0.01,-0.27,0.12,-1.80,-1.78,2.66,-141.08,-2.07,-1.67,11.57,0.00,78.74,495.03,1.46
6.49,44.30,-0.29,133.99,2.54,-157.56,0.12,202.92,701,307,0.09,0.09,-0.20,0.21,-2.35,-0.97,2.66,-163.30,-2.55,-0.77,11.57,0.00,78.74,495.03,1.46
6.57,44.28,-0.23,-108.70,2.54,-167.45,0.01,202.97,701,307036,0.15,0.15,-0.07,-0.22,-2.48,-0.55,2.67,-163.31,-2.55,-0.77,11.57,0.00,78.74,495.03,1.46
6.65,44.26,-0.23,-108.98,2.54,-167.45,0.12,203.03,701,307036,0.22,0.22,-0.07,-0.22,-2.48,-0.55,2.67,-163.33,-2.56,-0.77,11.57,0.00,78.74,495.03,1.46
6.83,44.24,0.23,-81.01,2.54,-138.90,0.15,174.58,701,307036,0.35,0.35,0.04,-0.22,-1.92,-1.67,2.67,-134.80,-1.88,-1.90,11.57,0.00,78.74,495.03,1.46
7.03,44.25,0.44,-49.67,2.67,-144.36,0.15,174.72,701,307037,0.50,0.50,0.29,-0.34,-2.17,-1.56,2.67,-134.87,-1.89,-1.90,11.57,0.00,78.74,495.03,1.46
7.24,44.26,0.44,-52.83,2.68,-147.26,0.15,177.74,701,307037,0.65,0.65,0.27,-0.35,-2.25,-1.45,2.68,-137.82,-1.98,-1.80,11.57,0.00,78.74,495.03,1.46
7.45,44.27,0.37,-23.20,2.85,-144.55,0.15,177.89,701,307038,0.80,0.80,0.34,-0.14,-2.33,-1.66,2.68,-137.89,-1.99,-1.80,11.57,0.00,78.74,495.03,1.46
7.66,44.23,0.37,-55.90,2.86,-176.96,0.18,210.44,701,307038,0.96,0.96,0.20,-0.30,-2.85,-0.15,2.69,-170.33,-2.65,-0.45,11.57,0.00,78.74,495.03,1.46
7.87,44.14,0.17,-29.11,2.82,-172.43,0.18,210.58,701,307039,1.14,1.14,0.15,-0.08,-2.80,-0.37,2.69,-170.35,-2.65,-0.45,11.57,0.00,78.74,495.03,1.46
8.05,44.12,0.17,32.09,2.83,-111.18,0.12,149.44,701,307039,1.28,1.28,0.14,0.09,-1.02,-2.63,2.69,-109.13,-0.88,-2.55,11.57,0.00,78.74,495.03,1.46
8.19,44.18,0.34,47.76,3.01,-111.68,0.12,149.54,701,307040,1.40,1.40,0.23,0.25,-1.11,-2.80,2.70,-109.20,-0.89,-2.55,11.57,0.00,78.74,495.03,1.46
