trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
5.71,43.85,-0.28,152.16,2.56,-135.89,0.03,181.17,701,307,0.01,0.01,-0.25,0.13,-1.84,-1.78,2.66,-141.61,-2.08,-1.65,11.24,0.00,56.51,437.31,1.47
5.84,43.80,-0.28,124.60,2.56,-162.97,0.18,208.30,701,307,0.12,0.12,-0.16,0.23,-2.45,-0.75,2.66,-168.66,-2.61,-0.52,11.24,0.00,56.51,437.31,1.47
6.01,43.74,-0.22,-111.63,2.55,-172.84,0.10,208.41,701,307036,0.26,0.26,-0.08,-0.21,-2.53,-0.32,2.67,-168.67,-2.61,-0.52,11.24,0.00,56.51,437.31,1.47
6.12,43.69,-0.22,-112.04,2.55,-172.84,0.08,208.49,701,307036,0.35,0.35,-0.08,-0.21,-2.53,-0.32,2.67,-168.69,-2.62,-0.52,11.24,0.00,56.51,437.31,1.47
6.28,43.66,-0.22,-90.40,2.56,-150.62,0.17,186.37,701,307036,0.47,0.47,-0.00,-0.22,-2.23,-1.25,2.67,-146.49,-2.23,-1.48,11.24,0.00,56.51,437.31,1.47
6.51,43.65,0.45,-60.35,2.69,-156.06,0.17,186.53,701,307037,0.64,0.64,0.22,-0.39,-2.45,-1.09,2.68,-146.55,-2.23,-1.48,11.24,0.00,56.51,437.31,1.47
6.71,43.63,0.45,-56.07,2.69,-151.49,0.13,182.08,701,307037,0.79,0.79,0.25,-0.37,-2.36,-1.28,2.68,-142.02,-2.11,-1.65,11.24,0.00,56.51,437.31,1.47
6.88,43.63,0.38,-26.58,2.87,-148.81,0.13,182.19,701,307038,0.91,0.91,0.34,-0.17,-2.45,-1.48,2.68,-142.07,-2.12,-1.65,11.24,0.00,56.51,437.31,1.47
7.06,43.59,0.37,-51.80,2.87,-173.79,0.15,207.29,701,307038,1.05,1.05,0.23,-0.29,-2.85,-0.31,2.69,-167.08,-2.62,-0.60,11.24,0.00,56.51,437.31,1.47
7.24,43.53,0.18,-25.03,2.84,-169.27,0.15,207.41,701,307039,1.19,1.19,0.16,-0.08,-2.79,-0.53,2.69,-167.11,-2.63,-0.60,11.24,0.00,56.51,437.31,1.47
7.39,43.51,0.18,26.11,2.84,-118.09,0.10,156.32,701,307039,1.31,1.31,0.16,0.08,-1.34,-2.50,2.70,-115.95,-1.18,-2.42,11.24,0.00,56.51,437.31,1.47
7.51,43.55,0.35,40.61,3.02,-118.60,0.10,156.41,701,307040,1.41,1.41,0.27,0.23,-1.45,-2.65,2.70,-116.01,-1.18,-2.42,11.24,0.00,56.51,437.31,1.47
7.65,43.57,0.35,19.32,3.02,-140.07,0.12,177.95,701,307040,1.52,1.52,0.33,0.12,-2.32,-1.94,2.70,-137.52,-1.99,-1.82,11.24,0.00,56.51,437.31,1.47
7.81,43.58,0.45,17.18,3.12,-141.07,0.12,178.06,701,307041,1.63,1.63,0.43,0.13,-2.43,-1.96,2.70,-137.57,-1.99,-1.82,11.24,0.00,56.51,437.31,1.47
7.96,43.55,0.45,-19.49,3.12,-177.74,0.11,214.83,701,307041,1.75,1.75,0.42,-0.15,-3.12,-0.12,2.70,-174.27,-2.69,-0.27,11.24,0.00,56.51,437.31,1.47
8.08,43.48,0.45,-19.58,3.12,-177.75,0.11,214.92,701,307041,1.86,1.86,0.42,-0.15,-3.12,-0.12,2.71,-174.27,-2.69,-0.27,11.24,0.00,56.51,437.31,1.47
8.21,43.42,0.37,22.26,3.06,-172.28,0.11,215.00,701,307042,1.97,1.97,0.34,0.14,-3.04,-0.41,2.71,-174.28,-2.70,-0.27,11.24,0.00,56.51,437.31,1.47
8.33,43.36,0.36,22.39,3.07,-172.29,0.11,215.09,701,307042,2.08,2.08,0.34,0.14,-3.04,-0.41,2.72,-174.29,-2.70,-0.27,11.24,0.00,56.51,437.31,1.47
8.53,43.31,0.36,50.61,3.07,-144.36,0.19,187.28,701,307042,2.24,2.24,0.23,0.28,-2.49,-1.79,2.72,-146.38,-2.26,-1.51,11.24,0.00,56.51,437.31,1.47
8.79,43.29,0.62,34.93,3.34,-146.14,0.19,187.46,701,307043,2.43,2.43,0.51,0.35,-2.78,-1.86,2.72,-146.45,-2.27,-1.51,11.24,0.00,56.51,437.31,1.47
9.03,43.24,0.62,20.47,3.35,-160.76,0.17,202.23,701,307043,2.61,2.61,0.58,0.22,-3.16,-1.10,2.73,-161.11,-2.58,-0.88,11.24,0.00,56.51,437.31,1.47
9.25,43.17,0.78,22.01,3.52,-160.39,0.17,202.38,701,307044,2.79,2.79,0.72,0.29,-3.31,-1.18,2.73,-161.14,-2.59,-0.88,11.24,0.00,56.51,437.31,1.47
