lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
139.942,-3.556,213.0,698.0,111.855,-32.806,0.216,1338.0,126.57,-32.37,4.49,64.4,-4.14,-78.25,0.2,279.67,919.0,801.0,13.25,19.39,1.94,4.05,0.84,-4.05,-2.8,-0.19,2.8,-0.01,31.43,0.02,3.21,172.8,2.39,0
133.751,-1.99,170.0,61502.0,102.003,-40.471,0.307,1943.0,125.35,-44.82,5.05,-18.43,1.31,126.82,0.2,286.06,919.0,801.0,0.1,13.6,4.79,-1.6,-0.79,1.05,-4.04,-7.79,4.0,-0.55,81.81,0.1,29.24,344.7,2.81,0
147.299,-5.944,132.0,69702.0,147.299,-5.944,0.23,417.0,135.49,-12.21,11.1,-21.14,2.47,159.23,0.19,49.06,780.0,301.0,0.1,0.1,10.36,-4.01,-2.31,0.88,-8.63,-21.45,8.03,-3.16,42.02,0.15,68.16,117.03,2.28,0
137.693,-3.063,4.0,698.0,136.862,-5.826,0.02,783.0,137.05,-4.67,-9.62,-158.43,-2.96,71.4,0.16,190.07,849.0,829.0,1.12,1.12,-8.94,-3.53,0.94,2.8,8.03,-173.12,-7.98,-0.96,22.49,0.0,27.85,75.8,1.84,0
146.025,-6.563,113.0,698.0,128.016,-35.371,0.189,1712.0,139.88,-31.01,7.07,26.85,4.03,-175.85,0.05,241.18,901.0,869.0,0.02,0.02,6.31,3.19,-4.02,-0.29,-3.71,51.9,2.29,2.92,10.36,0.01,2.23,99.05,2.0,0
142.215,-7.746,2.0,615.0,141.84,-9.1,0.07,2654.0,143.73,-5.55,9.52,35.64,6.77,156.64,0.01,209.72,847.0,829.0,6.03,7.79,7.74,5.55,-6.21,2.68,-8.39,80.06,1.45,8.26,33.81,0.0,39.94,132.83,1.92,0
135.82,-3.483,179.0,698.0,102.21,-41.948,0.286,1945.0,124.56,-45.33,3.51,-8.04,-0.58,-5.55,0.2,287.14,919.0,801.0,0.1,13.6,3.48,-0.49,0.58,-0.06,-4.09,-7.68,4.06,-0.55,75.18,0.07,21.98,288.46,2.78,0
139.211,-6.133,19.0,615.0,135.841,-18.202,0.178,961.0,130.08,-9.67,0.45,-62.39,-7.1,24.24,0.19,356.42,801.0,669.0,0.1,0.1,0.21,-0.4,6.47,2.91,-7.14,21.1,6.66,2.57,104.87,0.0,13.26,714.77,2.61,0
141.462,-7.003,28.0,615.0,137.007,-24.664,0.049,1816.0,137.87,-21.96,4.38,19.19,-4.81,-30.67,0.19,15.94,801.0,698.0,6.84,7.3,4.13,1.44,4.14,-2.45,-8.34,-7.36,8.27,-1.07,13.8,0.03,14.37,150.14,1.77,0
136.914,-3.135,146.0,698.0,111.109,-35.692,0.315,1707.0,132.45,-31.73,17.36,-23.43,9.51,129.49,0.2,250.65,919.0,499.0,15.35,23.63,15.93,-6.9,-6.05,7.34,-9.82,2.33,9.82,0.4,34.27,0.21,5.64,294.08,2.59,0
142.763,-4.959,31.0,698.0,139.237,-22.751,0.012,1933.0,139.03,-23.42,4.47,18.78,-3.63,-28.9,0.19,12.97,801.0,698.0,7.79,8.98,4.23,1.44,3.18,-1.76,-7.42,-2.84,7.41,-0.37,38.46,0.06,9.29,260.8,2.01,0
137.808,-3.517,90.0,698.0,127.076,-32.847,0.321,2054.0,148.42,-29.76,4.56,76.65,1.92,-154.46,0.04,235.49,901.0,869.0,0.02,0.02,1.05,4.43,-1.73,-0.83,3.67,100.66,-0.68,3.61,36.62,0.0,8.29,165.41,2.24,0
141.307,-6.555,200.0,615.0,109.081,-39.642,0.207,652.0,124.09,-37.56,-5.24,95.6,-4.77,-45.7,0.2,250.49,919.0,801.0,0.1,0.1,-0.51,5.21,3.33,-3.42,-3.37,32.33,2.84,1.8,49.46,0.0,7.14,357.45,2.59,0
140.907,-3.91,146.0,698.0,115.816,-37.157,0.254,1698.0,133.16,-33.41,17.73,-22.92,9.55,129.74,0.2,250.28,919.0,499.0,13.57,25.41,16.33,-6.9,-6.1,7.34,-10.17,2.25,10.16,0.4,35.47,0.22,4.44,275.2,2.6,0
147.184,-6.413,94.0,69702.0,147.184,-6.413,0.149,1455.0,145.42,-14.76,5.01,48.66,2.03,-177.53,0.19,256.33,901.0,609.0,0.1,0.1,3.31,3.76,-2.03,-0.09,-3.89,70.89,1.27,3.67,17.65,0.03,1.76,79.34,1.94,0
145.13,-7.184,84.0,615.0,137.512,-35.825,0.091,311.0,143.15,-33.43,5.98,47.11,5.22,-171.26,0.19,227.57,901.0,847.0,0.09,0.09,4.07,4.38,-5.16,-0.79,3.78,106.96,-1.1,3.61,35.66,0.05,33.94,317.23,2.25,0
138.755,-5.655,0.0,615.0,138.755,-5.655,0.067,2650.0,139.92,-1.99,5.13,48.26,6.01,129.9,0.19,194.41,847.0,829.0,3.22,3.22,3.42,3.83,-3.86,4.61,8.46,94.37,-0.65,8.43,21.87,0.04,31.19,90.53,1.83,0
135.5,-3.458,225.0,698.0,108.252,-29.278,0.292,1416.0,127.49,-29.02,3.5,34.49,2.01,-104.07,0.2,277.44,919.0,801.0,13.25,14.87,2.88,1.98,-0.49,-1.95,-2.4,0.74,2.4,0.03,26.2,0.03,2.01,190.53,2.26,0
143.292,-6.204,13.0,615.0,140.991,-14.537,0.132,2029.0,148.58,-12.75,6.97,-61.65,6.13,117.69,0.19,257.56,922.0,853.0,5.28,5.28,3.31,-6.14,-2.85,5.42,-0.85,-57.27,0.46,-0.71,23.61,0.04,18.44,93.31,1.85,0
139.221,-6.045,58.0,615.0,130.579,-34.538,0.175,2641.0,142.71,-34.1,0.0,0.0,-4.6,-41.63,0.18,64.94,836.0,836.0,0.09,13.06,0.0,0.0,3.44,-3.05,-4.6,-41.63,3.44,-3.05,13.02,0.0,47.29,199.06,1.76,0
137.415,-2.839,201.0,698.0,106.223,-34.63,0.258,1253.0,124.3,-36.98,5.23,61.03,-4.77,-80.94,0.2,285.11,919.0,801.0,13.25,23.79,2.53,4.57,0.75,-4.71,-3.31,-2.49,3.3,-0.14,47.18,0.04,8.57,334.68,2.55,0
146.387,-6.317,222.0,698.0,120.513,-34.036,0.127,1387.0,128.36,-30.96,3.62,66.16,-2.0,-69.85,0.2,241.58,919.0,801.0,11.68,17.63,1.47,3.32,0.69,-1.88,-2.6,33.76,2.16,1.44,28.72,0.02,0.16,147.9,2.22,0
137.353,-4.53,86.0,615.0,127.409,-33.907,0.329,1988.0,149.2,-29.67,5.53,76.53,1.88,-151.71,0.03,235.15,901.0,869.0,0.02,0.02,1.29,5.38,-1.66,-0.89,4.51,94.74,-0.37,4.5,44.2,0.0,12.8,179.65,2.31,0
139.367,-2.414,79.0,698.0,129.748,-31.232,0.185,1768.0,141.65,-28.66,4.44,-5.56,5.04,-140.94,0.2,69.42,780.0,678.0,2.23,2.23,4.41,-0.43,-3.92,-3.18,-3.62,-81.87,0.51,-3.59,58.71,0.08,85.42,257.38,2.42,0
137.547,-1.933,181.0,698.0,105.096,-40.787,0.255,1313.0,124.33,-44.9,8.55,24.51,5.55,-132.9,0.2,287.38,919.0,801.0,0.1,13.6,7.78,3.55,-3.78,-4.06,-4.06,-7.46,4.02,-0.53,74.35,0.15,23.92,442.91,2.78,0
136.021,-4.435,45.0,615.0,127.557,-30.302,0.317,1908.0,143.8,-19.46,-10.97,-148.23,-10.36,18.28,0.18,50.56,801.0,678.0,1.01,1.01,-9.33,-5.78,9.84,3.25,-2.6,-77.31,0.57,-2.54,12.27,0.0,33.69,105.42,1.84,0
136.37,-2.476,102.0,698.0,121.896,-31.519,0.346,1867.0,145.03,-29.97,10.77,41.07,6.76,-140.79,0.04,237.09,901.0,869.0,0.02,0.02,8.12,7.08,-5.24,-4.27,-4.03,44.33,2.88,2.81,19.04,0.02,1.24,118.29,2.05,0
